,Unnamed: 0,Code,Year,Value,Country
0,1,GBR,2019,54.6943869184448,United Kingdom
1,2,GBR,2018,55.1273615585909,United Kingdom
2,3,GBR,2017,55.0831092515495,United Kingdom
3,4,GBR,2016,56.16227658761999,United Kingdom
4,5,GBR,2015,57.18241690091471,United Kingdom
5,6,GBR,2014,56.7089402685969,United Kingdom
6,7,GBR,2013,57.0157501995156,United Kingdom
7,8,GBR,2012,57.0133700895934,United Kingdom
8,9,GBR,2011,57.0357817238276,United Kingdom
9,10,GBR,2010,57.08008642597779,United Kingdom
10,11,GBR,2009,56.969273572587795,United Kingdom
11,12,GBR,2008,54.6315421024915,United Kingdom
12,13,GBR,2007,56.9609398148955,United Kingdom
13,14,GBR,2006,57.207186449925395,United Kingdom
14,15,GBR,2005,57.2567711524129,United Kingdom
15,16,GBR,2004,58.0412716351688,United Kingdom
16,17,GBR,2003,58.3589574353749,United Kingdom
17,18,GBR,2002,58.05674203534621,United Kingdom
18,19,GBR,2001,57.72486477739671,United Kingdom
19,20,GBR,2000,58.0867225164213,United Kingdom
20,21,GBR,1999,57.801569965666296,United Kingdom
21,22,GBR,1998,57.57025590904311,United Kingdom
22,23,GBR,1997,57.690034696186,United Kingdom
23,24,GBR,1996,58.6695764577699,United Kingdom
24,25,GBR,1995,58.6322821540925,United Kingdom
25,26,GBR,1994,58.124907262311,United Kingdom
26,27,GBR,1993,59.0430781213961,United Kingdom
27,28,GBR,1992,60.44093293123961,United Kingdom
28,29,GBR,1991,58.39060468789521,United Kingdom
29,30,GBR,1990,52.8416539966601,United Kingdom
30,31,GBR,1989,34.733358333779805,United Kingdom
31,32,GBR,1988,35.695400594408,United Kingdom
32,33,GBR,1987,36.7000893477613,United Kingdom
33,34,GBR,1986,36.9465850973397,United Kingdom
34,35,GBR,1985,36.6848183132108,United Kingdom
35,36,GBR,1984,35.5351327655311,United Kingdom
36,37,GBR,1983,35.4887180175945,United Kingdom
37,38,GBR,1982,37.384860572118,United Kingdom
38,39,GBR,1981,36.4328557973529,United Kingdom
39,40,GBR,1980,34.7804962693042,United Kingdom
40,41,GBR,1979,30.093131548312,United Kingdom
41,42,GBR,1978,29.466000132424,United Kingdom
42,43,GBR,1977,28.736029496485802,United Kingdom
43,44,GBR,1976,26.8493789478147,United Kingdom
44,45,GBR,1975,25.606300002508,United Kingdom
45,46,GBR,1974,26.415223025508105,United Kingdom
46,47,GBR,1973,27.9152878888154,United Kingdom
47,48,GBR,1972,28.6845249950209,United Kingdom
48,1,DNK,2019,14.349460939572198,Denmark
49,2,DNK,2018,14.4502787016915,Denmark
50,3,DNK,2017,15.060827879947901,Denmark
51,4,DNK,2016,14.9686114506713,Denmark
52,5,DNK,2015,15.2605428928056,Denmark
53,6,DNK,2014,15.6183143946404,Denmark
54,7,DNK,2013,15.7732196127896,Denmark
55,8,DNK,2012,15.355096844594,Denmark
56,9,DNK,2011,15.785762372367303,Denmark
57,10,DNK,2010,15.904177003682802,Denmark
58,11,DNK,2009,15.484253254844198,Denmark
59,12,DNK,2008,14.475762490222499,Denmark
60,13,DNK,2007,15.8709708281179,Denmark
61,14,DNK,2006,18.2966185683567,Denmark
62,15,DNK,2005,19.9056559459157,Denmark
63,16,DNK,2004,20.69243548326,Denmark
64,17,DNK,2003,21.1093759384948,Denmark
65,18,DNK,2002,20.9410840290922,Denmark
66,19,DNK,2001,20.585951808380198,Denmark
67,20,DNK,2000,20.7989906107133,Denmark
68,21,DNK,1999,21.4308772240754,Denmark
69,22,DNK,1998,22.0226892174297,Denmark
70,23,DNK,1997,22.4555534357072,Denmark
71,24,DNK,1996,22.9465631054029,Denmark
72,25,DNK,1995,22.6926960926227,Denmark
73,26,DNK,1994,64.9503020950035,Denmark
74,27,DNK,1993,63.6380405492108,Denmark
