,country,year,netedu,category,categorynum,,
3,Russian Federation,2017,90.67886,Russian,1,,
6,Russian Federation,2014,93.07093,Russian,1,,
7,Russian Federation,2013,91.69424,Russian,1,,
53,Estonia,2017,94.36474,Russian,1,,
54,Estonia,2016,94.2014,Russian,1,,
55,Estonia,2015,93.82438,Russian,1,,
56,Estonia,2014,92.68432,Russian,1,,
57,Estonia,2013,92.09885,Russian,1,,
58,Estonia,2012,91.28602,Russian,1,,
59,Estonia,2011,91.33162,Russian,1,,
60,Estonia,2010,90.93238,Russian,1,,
61,Estonia,2009,91.23404,Russian,1,,
62,Estonia,2008,91.89447,Russian,1,,
63,Estonia,2007,92.89928,Russian,1,,
64,Estonia,2006,93.78821,Russian,1,,
65,Estonia,2005,93.41205,Russian,1,,
66,Estonia,2004,91.47287,Russian,1,,
67,Estonia,2003,89.4797,Russian,1,,
68,Estonia,2002,88.4054,Russian,1,,
69,Estonia,2001,85.7722,Russian,1,,
70,Estonia,2000,85.07887,Russian,1,,
71,Estonia,1999,83.95348,Russian,1,,
72,Estonia,1998,83.75907,Russian,1,,
103,Latvia,2017,93.79965,Russian,1,,
104,Latvia,2016,93.58713,Russian,1,,
105,Latvia,2015,92.86996,Russian,1,,
106,Latvia,2014,92.92582,Russian,1,,
107,Latvia,2013,93.35256,Russian,1,,
108,Latvia,2012,90.9881,Russian,1,,
109,Latvia,2011,91.40143,Russian,1,,
110,Latvia,2010,90.3935,Russian,1,,
111,Latvia,2009,89.64194,Russian,1,,
112,Latvia,2008,91.06387,Russian,1,,
126,Latvia,1994,78.85201,Russian,1,,
153,Lithuania,2017,98.42562,Russian,1,,
154,Lithuania,2016,97.52441,Russian,1,,
155,Lithuania,2015,97.50248,Russian,1,,
156,Lithuania,2014,97.59719,Russian,1,,
157,Lithuania,2013,97.46028,Russian,1,,
158,Lithuania,2012,97.04006,Russian,1,,
159,Lithuania,2011,97.30754,Russian,1,,
160,Lithuania,2010,96.98128,Russian,1,,
161,Lithuania,2009,97.24047,Russian,1,,
162,Lithuania,2008,98.24224,Russian,1,,
163,Lithuania,2007,99.30088,Russian,1,,
164,Lithuania,2006,99.64591,Russian,1,,
165,Lithuania,2005,98.60829,Russian,1,,
166,Lithuania,2004,97.50945,Russian,1,,
167,Lithuania,2003,96.39001,Russian,1,,
168,Lithuania,2002,94.48267,Russian,1,,
169,Lithuania,2001,92.71941,Russian,1,,
170,Lithuania,2000,90.95167,Russian,1,,
171,Lithuania,1999,89.18803,Russian,1,,
172,Lithuania,1998,89.39312,Russian,1,,
174,Lithuania,1996,85.24298,Russian,1,,
175,Lithuania,1995,83.08933,Russian,1,,
202,Belarus,2018,95.63948,Russian,1,,
203,Belarus,2017,96.37553,Russian,1,,
204,Belarus,2016,97.60838,Russian,1,,
205,Belarus,2015,98.50839,Russian,1,,
206,Belarus,2014,98.06344,Russian,1,,
207,Belarus,2013,97.40129,Russian,1,,
208,Belarus,2012,96.37232,Russian,1,,
209,Belarus,2011,95.19412,Russian,1,,
210,Belarus,2010,94.90999,Russian,1,,
256,Ukraine,2014,85.67634,Russian,1,,
257,Ukraine,2013,85.02414,Russian,1,,
258,Ukraine,2012,84.48572,Russian,1,,
259,Ukraine,2011,84.20284,Russian,1,,
260,Ukraine,2010,85.99148,Russian,1,,
261,Ukraine,2009,85.75843,Russian,1,,
262,Ukraine,2008,86.4859,Russian,1,,
263,Ukraine,2007,86.76809,Russian,1,,
264,Ukraine,2006,86.92265,Russian,1,,
265,Ukraine,2005,85.67247,Russian,1,,
266,Ukraine,2004,90.22745,Russian,1,,
267,Ukraine,2003,91.04401,Russian,1,,
268,Ukraine,2002,90.48178,Russian,1,,
269,Ukraine,2001,94.6328,Russian,1,,
270,Ukraine,2000,93.57133,Russian,1,,
309,Armenia,2011,87.74122,Russian,1,,
310,Armenia,2010,92.50998,Russian,1,,
311,Armenia,2009,92.32107,Russian,1,,
312,Armenia,2008,86.10852,Russian,1,,
313,Armenia,2007,91.63539,Russian,1,,
314,Armenia,2006,88.92706,Russian,1,,
315,Armenia,2005,86.5328,Russian,1,,
352,Kyrgyz Republic,2018,84.38733,Russian,1,,
353,Kyrgyz Republic,2017,83.16127,Russian,1,,
354,Kyrgyz Republic,2016,82.18479,Russian,1,,
355,Kyrgyz Republic,2015,80.51887,Russian,1,,
356,Kyrgyz Republic,2014,80.23971,Russian,1,,
363,Kyrgyz Republic,2007,80.37718,Russian,1,,
364,Kyrgyz Republic,2006,80.60553,Russian,1,,
365,Kyrgyz Republic,2005,80.63642,Russian,1,,
366,Kyrgyz Republic,2004,82.2807,Russian,1,,
402,Georgia,2018,95.94754,Russian,1,,
403,Georgia,2017,94.21028,Russian,1,,
404,Georgia,2016,92.4141,Russian,1,,
405,Georgia,2015,91.29973,Russian,1,,
406,Georgia,2014,90.22179,Russian,1,,
407,Georgia,2013,88.75413,Russian,1,,
411,Georgia,2009,87.67605,Russian,1,,
412,Georgia,2008,91.34337,Russian,1,,
413,Georgia,2007,91.36429,Russian,1,,
414,Georgia,2006,88.2985,Russian,1,,
415,Georgia,2005,88.04291,Russian,1,,
420,Georgia,2000,85.2912,Russian,1,,
421,Georgia,1999,82.18443,Russian,1,,
423,Georgia,1997,76.91283,Russian,1,,
424,Georgia,1996,73.62613,Russian,1,,
452,Moldova,2018,77.95594,Russian,1,,
453,Moldova,2017,77.85475,Russian,1,,
454,Moldova,2016,76.59364,Russian,1,,
455,Moldova,2015,76.40056,Russian,1,,
456,Moldova,2014,76.86421,Russian,1,,
457,Moldova,2013,77.19155,Russian,1,,
458,Moldova,2012,77.909,Russian,1,,
459,Moldova,2011,77.74841,Russian,1,,
460,Moldova,2010,78.62414,Russian,1,,
461,Moldova,2009,79.55915,Russian,1,,
462,Moldova,2008,83.49852,Russian,1,,
463,Moldova,2007,80.55401,Russian,1,,
464,Moldova,2006,81.34888,Russian,1,,
465,Moldova,2005,81.78983,Russian,1,,
466,Moldova,2004,81.07953,Russian,1,,
467,Moldova,2003,80.06647,Russian,1,,
468,Moldova,2002,78.91573,Russian,1,,
469,Moldova,2001,78.03685,Russian,1,,
470,Moldova,2000,78.24249,Russian,1,,
501,Kazakhstan,2019,99.83989,Russian,1,,
502,Kazakhstan,2018,99.83695,Russian,1,,
503,Kazakhstan,2017,99.83544,Russian,1,,
504,Kazakhstan,2016,98.66864,Russian,1,,
505,Kazakhstan,2015,98.20578,Russian,1,,
506,Kazakhstan,2014,96.95453,Russian,1,,
507,Kazakhstan,2013,93.57774,Russian,1,,
508,Kazakhstan,2012,93.62616,Russian,1,,
509,Kazakhstan,2011,92.91494,Russian,1,,
510,Kazakhstan,2010,92.55572,Russian,1,,
514,Kazakhstan,2006,94.71818,Russian,1,,
520,Kazakhstan,2000,88.66677,Russian,1,,
559,Tajikistan,2011,83.21746,Russian,1,,
560,Tajikistan,2010,82.50797,Russian,1,,
561,Tajikistan,2009,81.79476,Russian,1,,
562,Tajikistan,2008,81.59779,Russian,1,,
563,Tajikistan,2007,80.24331,Russian,1,,
564,Tajikistan,2006,78.81148,Russian,1,,
565,Tajikistan,2005,78.1815,Russian,1,,
566,Tajikistan,2004,78.10509,Russian,1,,
568,Tajikistan,2002,75.00605,Russian,1,,
569,Tajikistan,2001,72.13134,Russian,1,,
570,Tajikistan,2000,70.18143,Russian,1,,
571,Tajikistan,1999,61.97265,Russian,1,,
603,Uzbekistan,2017,90.85635,Russian,1,,
604,Uzbekistan,2016,89.80656,Russian,1,,
605,Uzbekistan,2015,88.74141,Russian,1,,
606,Uzbekistan,2014,88.07015,Russian,1,,
607,Uzbekistan,2013,88.51988,Russian,1,,
608,Uzbekistan,2012,88.29952,Russian,1,,
609,Uzbekistan,2011,86.60566,Russian,1,,
610,Uzbekistan,2010,85.91028,Russian,1,,
652,Azerbaijan,2018,88.53256,Russian,1,,
703,United Kingdom,2017,97.13247,British,2,,
705,United Kingdom,2015,98.13521,British,2,,
706,United Kingdom,2014,97.18701,British,2,,
707,United Kingdom,2013,93.84317,British,2,,
708,United Kingdom,2012,90.8005,British,2,,
709,United Kingdom,2011,92.958,British,2,,
710,United Kingdom,2010,96.16818,British,2,,
711,United Kingdom,2009,94.46231,British,2,,
