country,year,cpi,gdppc,category
Argentina,2012,35,19641.35286,Spanish
Argentina,2013,34,20131.68042,Spanish
Argentina,2014,34,19683.77151,Spanish
Argentina,2015,32,20105.19899,Spanish
Argentina,2016,36,20307.87005,Spanish
Argentina,2017,39,23597.11775,Spanish
Argentina,2018,40,23293.39863,Spanish
Argentina,2019,45,22999.27505,Spanish
Argentina,2020,42,20762.99168,Spanish
Armenia,2012,34,9364.375298999999,Russian
Armenia,2013,36,9835.802460999999,Russian
Armenia,2014,37,10036.88984,Russian
Armenia,2015,35,9969.664854000001,Russian
Armenia,2016,33,10704.22976,Russian
Armenia,2017,35,12115.13929,Russian
Armenia,2018,35,13020.39632,Russian
Armenia,2019,42,14231.18019,Russian
Armenia,2020,49,13307.15661,Russian
Azerbaijan,2012,27,15957.71885,Russian
Azerbaijan,2013,28,17188.94551,Russian
Azerbaijan,2014,29,17443.87826,Russian
Azerbaijan,2015,29,14938.40113,Russian
Azerbaijan,2016,30,14371.02274,Russian
Azerbaijan,2017,31,14121.40694,Russian
Azerbaijan,2018,25,14550.76282,Russian
Azerbaijan,2019,30,15052.79387,Russian
Azerbaijan,2020,30,14474.31336,Russian
Belarus,2012,31,18105.28672,Russian
Belarus,2013,29,18994.19019,Russian
Belarus,2014,31,19008.06102,Russian
Belarus,2015,32,18095.66518,Russian
Belarus,2016,40,17785.9432,Russian
Belarus,2017,44,18356.10077,Russian
Belarus,2018,44,19430.27877,Russian
Belarus,2019,45,20094.52581,Russian
Belarus,2020,47,20231.66501,Russian
Colombia,2012,36,12018.65128,Spanish
Colombia,2013,36,12727.76493,Spanish
Colombia,2014,37,13307.4245,Spanish
Colombia,2015,37,13265.79726,Spanish
Colombia,2016,37,13812.09606,Spanish
Colombia,2017,37,14171.3205,Spanish
Colombia,2018,36,14865.89324,Spanish
Colombia,2019,37,15621.08737,Spanish
Colombia,2020,39,14570.23674,Spanish
"Egypt, Arab Rep.",2012,32,11092.74326,British
"Egypt, Arab Rep.",2013,32,11221.38039,British
"Egypt, Arab Rep.",2014,37,10895.94317,British
"Egypt, Arab Rep.",2015,36,11512.40214,British
"Egypt, Arab Rep.",2016,34,11192.37301,British
"Egypt, Arab Rep.",2017,32,11014.48648,British
"Egypt, Arab Rep.",2018,35,11639.23909,British
"Egypt, Arab Rep.",2019,35,12260.72054,British
"Egypt, Arab Rep.",2020,33,12602.30927,British
Estonia,2012,64,25996.04678,Russian
Estonia,2013,68,27464.51868,Russian
Estonia,2014,69,28945.46533,Russian
Estonia,2015,70,29175.92593,Russian
Estonia,2016,70,31312.7523,Russian
