,country,year,cpi,gdppc,category
8,Argentina,2020,42,20762.991680000003,Spanish
17,Armenia,2020,49,13307.15661,Russian
26,Azerbaijan,2020,30,14474.31336,Russian
35,Belarus,2020,47,20231.66501,Russian
44,Colombia,2020,39,14570.23674,Spanish
53,"Egypt, Arab Rep.",2020,33,12602.30927,British
62,Estonia,2020,75,37925.1168,Russian
71,Georgia,2020,56,14761.477069999999,Russian
80,Guatemala,2020,25,8850.373033,Spanish
89,India,2020,40,6501.526071,British
98,Iraq,2020,21,9503.185148999999,British
107,Ireland,2020,72,95237.2413,British
116,Italy,2020,53,41890.20879,Spanish
125,Jamaica,2020,44,9238.134165000001,British
134,Kazakhstan,2020,38,26744.41403,Russian
143,Kyrgyz Republic,2020,31,4962.884505,Russian
152,Latvia,2020,57,32212.393160000003,Russian
161,Lithuania,2020,60,39191.948710000004,Russian
170,Luxembourg,2020,80,118503.55099999999,Spanish
179,Malaysia,2020,51,27913.289269999997,British
188,Malta,2020,53,42640.1161,British
197,Mexico,2020,31,18793.74454,Spanish
206,Moldova,2020,34,12995.56041,Russian
215,Morocco,2020,40,7296.1580650000005,Spanish
224,Myanmar,2020,28,5121.917559,British
233,Netherlands,2020,82,59334.21484,Spanish
242,Nicaragua,2020,22,5567.647462,Spanish
251,Paraguay,2020,28,13064.30933,Spanish
260,Peru,2020,38,11874.09814,Spanish
269,Russian Federation,2020,30,28213.447839999997,Russian
278,Singapore,2020,85,98483.34199999999,British
287,South Africa,2020,44,13355.59871,British
296,Spain,2020,62,38343.15522,Spanish
305,Sri Lanka,2020,38,13219.68883,British
314,Tajikistan,2020,25,3856.76065,Russian
323,Ukraine,2020,33,13056.702070000001,Russian
332,United Kingdom,2020,77,45852.68889,British
341,Uruguay,2020,71,22785.19992,Spanish
350,Uzbekistan,2020,26,7731.144448,Russian
359,Zimbabwe,2020,24,3536.034132,British
