,country,year,debt2gdp,category
4,Russian Federation,2016,14.24173958,Russian
5,Russian Federation,2015,13.54076578,Russian
6,Russian Federation,2014,11.20046128,Russian
7,Russian Federation,2013,9.06725564,Russian
8,Russian Federation,2012,8.551408593,Russian
9,Russian Federation,2011,8.641081944,Russian
10,Russian Federation,2010,9.098105645,Russian
11,Russian Federation,2009,8.697866335,Russian
12,Russian Federation,2008,6.495287438,Russian
13,Russian Federation,2007,7.158430117,Russian
14,Russian Federation,2006,9.89107286,Russian
15,Russian Federation,2005,16.66086845,Russian
18,Russian Federation,2002,41.35271686,Russian
19,Russian Federation,2001,48.98361534,Russian
20,Russian Federation,2000,62.14888887,Russian
21,Russian Federation,1999,100.7441377,Russian
22,Russian Federation,1998,143.9489995,Russian
204,Belarus,2016,39.9601531,Russian
205,Belarus,2015,37.59817806,Russian
206,Belarus,2014,24.54872626,Russian
207,Belarus,2013,23.83729556,Russian
208,Belarus,2012,24.42931342,Russian
209,Belarus,2011,39.41681084,Russian
210,Belarus,2010,18.90524573,Russian
211,Belarus,2009,18.55746198,Russian
212,Belarus,2008,10.65663437,Russian
213,Belarus,2007,8.909260816,Russian
214,Belarus,2006,6.644401832,Russian
215,Belarus,2005,6.570220588,Russian
218,Belarus,2002,12.33668601,Russian
219,Belarus,2001,11.44061677,Russian
220,Belarus,2000,15.01445182,Russian
221,Belarus,1999,15.10311745,Russian
222,Belarus,1998,20.18054264,Russian
223,Belarus,1997,12.17146907,Russian
224,Belarus,1996,11.52012886,Russian
225,Belarus,1995,16.88006062,Russian
226,Belarus,1994,75.95571292,Russian
227,Belarus,1993,5.187817259,Russian
228,Belarus,1992,25.76086957,Russian
254,Ukraine,2016,71.80954545,Russian
255,Ukraine,2015,70.25883762,Russian
256,Ukraine,2014,63.66531919,Russian
257,Ukraine,2013,35.63139959,Russian
258,Ukraine,2012,32.44591172,Russian
259,Ukraine,2011,26.48082017,Russian
260,Ukraine,2010,28.86663662,Russian
261,Ukraine,2009,23.99003423,Russian
262,Ukraine,2008,13.22995421,Russian
270,Ukraine,2000,43.72978743,Russian
271,Ukraine,1999,60.9764493,Russian
354,Kyrgyz Republic,2016,60.47351087,Russian
355,Kyrgyz Republic,2015,72.45655758,Russian
356,Kyrgyz Republic,2014,53.88932702,Russian
404,Georgia,2016,42.14393347,Russian
405,Georgia,2015,38.63091204,Russian
406,Georgia,2014,33.13520113,Russian
407,Georgia,2013,31.84964205,Russian
408,Georgia,2012,31.26420908,Russian
409,Georgia,2011,31.01414122,Russian
410,Georgia,2010,34.98139458,Russian
411,Georgia,2009,34.61136439,Russian
412,Georgia,2008,27.01770389,Russian
413,Georgia,2007,22.68709765,Russian
414,Georgia,2006,27.95814328,Russian
415,Georgia,2005,35.07645707,Russian
416,Georgia,2004,43.83620207,Russian
417,Georgia,2003,53.80600413,Russian
418,Georgia,2002,64.95842275,Russian
419,Georgia,2001,66.66916392,Russian
420,Georgia,2000,69.9376148,Russian
421,Georgia,1999,71.93712844,Russian
