country,eduShare,gdppc
Afghanistan,3.199790001,493.7565814
Albania,..,5284.380184
Algeria,5.866350174,4153.956234
American Samoa,..,11557.67116
Andorra,3.246720076,41791.96984
Angola,2.044699907,3289.643995
Antigua and Barbuda,2.644079924,16673.4369
Argentina,4.945519924,11633.49801
Armenia,2.255870104,4220.540321
Aruba,..,30253.27936
Australia,5.107890129,57354.96405
Austria,5.225359917,51453.14702
Azerbaijan,2.455430031,4739.84171
"Bahamas, The",2.309520006,33767.94119
Bahrain,..,23991.04139
Bangladesh,..,1698.132081
Barbados,5.428860188,17745.25537
Belarus,5.381110191,6330.075246
Belgium,6.376639843,47554.74631
Belize,7.472270012,5001.422157
Benin,2.933969975,1240.830962
Bermuda,..,113023.1856
Bhutan,6.850840092,3243.477437
Bolivia,..,3548.59078
Bosnia and Herzegovina,..,6072.184623
Botswana,6.721330166,8279.818457
Brazil,6.088510036,9151.445253
British Virgin Islands,2.694129944,..
Brunei Darussalam,..,31628.47626
Bulgaria,..,9427.73043
Burkina Faso,5.430560112,813.0996894
Burundi,5.078649998,271.7524964
Cabo Verde,5.368850231,3617.347445
Cambodia,2.162859917,1512.126989
Cameroon,3.131200075,1534.492241
Canada,..,46454.74339
Cayman Islands,..,86059.73922
Central African Republic,1.565879941,475.9538495
Chad,2.25948,726.1510071
Channel Islands,..,..
Chile,5.433169842,15888.14436
China,3.542490005,9976.677137
Colombia,4.449100018,6729.583332
Comoros,..,1415.955164
"Congo, Dem. Rep.",..,557.0644117
"Congo, Rep.",3.001470089,2601.410483
Costa Rica,6.779069901,12468.57529
Cote d'Ivoire,3.239939928,2314.050958
Croatia,..,15014.08502
Cuba,..,8824.194008
Curacao,..,19630.89349
Cyprus,..,29089.47133
Czech Republic,4.26692009,23419.73561
Denmark,..,61591.92887
Djibouti,3.627739906,3141.879389
Dominica,5.571549892,7693.771453
Dominican Republic,3.928489923,8050.644076
Ecuador,4.621459961,6295.934662
"Egypt, Arab Rep.",..,2537.125185
El Salvador,3.605750084,4052.624775
Equatorial Guinea,..,10005.61679
Eritrea,..,..
Estonia,5.238870144,23052.30126
Eswatini,5.679160118,4105.897212
Ethiopia,5.06867981,771.5248663
Faroe Islands,..,62918.14619
Fiji,4.835710049,6317.437799
Finland,6.269299984,49964.49991
France,5.413169861,41572.48501
French Polynesia,..,..
Gabon,2.933459997,7956.627816
"Gambia, The",2.365439892,732.7207273
Georgia,3.52105999,4722.787783
Germany,4.992740154,47950.18081
Ghana,4.004129887,2194.232477
Gibraltar,..,..
Greece,3.593950033,19765.99645
Greenland,10.5601902,54470.95639
Grenada,3.552550077,10486.37759
Guam,..,36502.38282
Guatemala,3.137049913,4478.424646
Guinea,2.384320021,955.1112811
Guinea-Bissau,2.137870073,802.7673851
Guyana,4.45058012,6145.818743
Haiti,1.682100058,1435.350852
Honduras,6.056469917,2510.322943
"Hong Kong SAR, China",3.326519966,48542.68187
Hungary,4.627309799,16411.44111
Iceland,7.574059963,74469.80406
India,..,1996.915087
Indonesia,3,3893.859578
"Iran, Islamic Rep.",3.955359936,3598.483454
Iraq,..,5523.078375
Ireland,3.383090019,79068.97461
Isle of Man,..,89112.66772
Israel,6.164899826,41704.82857
Italy,4.255720139,34608.6756
Jamaica,5.413809776,5359.993789
Japan,..,39808.16856
Jordan,2.984810114,4308.151074
Kazakhstan,2.615950108,9812.626371
Kenya,5.306250095,1708.001428
Kiribati,11.96829033,1698.329587
"Korea, Dem. People's Rep.",..,..
"Korea, Rep.",4.458079815,33422.94421
Kosovo,..,4419.914327
Kuwait,6.38917017,33399.06048
Kyrgyz Republic,5.552670002,1308.139779
Lao PDR,..,2542.489769
Latvia,4.245170116,17849.5593
Lebanon,2.524470091,8012.539237
Lesotho,7.285359859,1192.48432
Liberia,2.584120035,677.3223191
Libya,..,7877.12461
Liechtenstein,..,180366.7152
Lithuania,3.894959927,19166.81227
Luxembourg,3.666260004,116597.2956
"Macao SAR, China",2.727880001,87554.71386
Madagascar,2.874520063,518.401123
Malawi,3.381939888,535.3513457
Malaysia,4.479599953,11377.6542
Maldives,3.912489891,10276.77339
Mali,3.882529974,894.8047765
Malta,..,30672.29224
Marshall Islands,..,3793.550983
Mauritania,..,1601.291932
Mauritius,4.834589958,11208.3273
Mexico,4.254429817,9686.514244
"Micronesia, Fed. Sts.",9.697050095,3568.291016
Moldova,5.439730167,4230.363037
Monaco,..,185978.6093
Mongolia,6.173019886,4134.979372
Montenegro,..,8850.094631
Morocco,..,3226.982794
Mozambique,5.452189922,503.3179252
Myanmar,1.922889948,1279.089756
Namibia,8.988050461,5587.985613
Nauru,..,11614.66508
Nepal,4.43445015,1178.525932
Netherlands,5.357649803,53018.62936
New Caledonia,..,..
New Zealand,6.048500061,43306.07
Nicaragua,3.562550068,2014.570287
Niger,3.44698,572.4301385
Nigeria,..,2027.778549
North Macedonia,..,6087.468311
Northern Mariana Islands,..,22886.67405
Norway,7.644110203,82267.80932
Oman,5.207230091,16521.20623
Pakistan,..,1482.213067
Palau,..,15657.17715
Panama,2.88293004,15544.73352
Papua New Guinea,1.874830008,2801.371393
Paraguay,3.283200026,5782.78455
Peru,3.714299917,6957.793411
Philippines,3.133100033,3252.110274
Poland,4.615799904,15468.40941
Portugal,4.675159931,23551.04829
Puerto Rico,..,31604.70151
Qatar,..,65907.94843
Romania,3.344749928,12398.98198
Russian Federation,4.678199768,11287.35528
Rwanda,3.073750019,783.6371628
Samoa,4.532149792,4188.571058
San Marino,3.555160046,48996.59225
Sao Tome and Principe,5.235109806,1953.513257
Saudi Arabia,..,23337.01755
Senegal,4.8582201,1458.069093
Serbia,3.582319975,7252.401858
Seychelles,4.498839855,16390.82491
Sierra Leone,6.989630222,533.9915333
Singapore,2.645090103,66679.04649
Sint Maarten (Dutch part),..,29160.10381
Slovak Republic,3.975830078,19364.6201
Slovenia,4.936039925,26104.10279
Solomon Islands,..,2411.862926
Somalia,..,314.542678
South Africa,6.158989906,6372.605655
South Sudan,..,..
Spain,4.178160191,30349.7521
Sri Lanka,2.135390043,4058.803511
St. Kitts and Nevis,..,19276.52127
St. Lucia,3.331799984,11357.82657
St. Martin (French part),..,..
St. Vincent and the Grenadines,5.693779945,7361.400962
Sudan,..,825.8689411
Suriname,5.688600063,6938.086981
Sweden,7.640840054,54589.06039
Switzerland,4.86093998,86388.40495
Syrian Arab Republic,..,..
Tajikistan,5.5583601,853.2188734
Tanzania,3.696439981,1042.838759
Thailand,3.056770086,7296.879608
Timor-Leste,6.830910206,1230.22528
Togo,4.043940067,901.5230169
Tonga,6.372910023,4740.700272
Trinidad and Tobago,3.286240101,17037.86236
Tunisia,..,3438.805067
Turkey,4.29460001,9453.196172
Turkmenistan,..,6967.375043
Turks and Caicos Islands,2.743769884,29553.1367
Tuvalu,..,3701.709255
Uganda,2.130520105,770.2570601
Ukraine,5.319479942,3096.817402
United Arab Emirates,..,43839.32449
United Kingdom,5.238900185,42992.80372
United States,..,63064.41841
Uruguay,4.662799835,18703.86029
Uzbekistan,5.900000095,1529.082864
Vanuatu,..,3125.404999
"Venezuela, RB",..,..
Vietnam,4.167449951,2566.447487
Virgin Islands (U.S.),..,37233.29689
West Bank and Gaza,5.318870068,3562.330943
"Yemen, Rep.",..,824.117718
Zambia,4.739739895,1516.3711
Zimbabwe,3.587280035,1352.162653
