,year,yearCode,country,countryCode,gini,govExpEdu,gdpGrowth,gdpPC
5,2000,YR2000,Angola,AGO,52.0,2.607530117,3.054624234,4727.966314
7,2000,YR2000,Argentina,ARG,51.1,4.5803098680000005,-0.7889989390000001,18625.28355
11,2000,YR2000,Austria,AUT,28.8,5.588809967,3.375722147,46403.2777
15,2000,YR2000,Bangladesh,BGD,33.4,2.125080109,5.293294718,1937.7291920000002
17,2000,YR2000,Belarus,BLR,31.2,6.196619987,5.80000344,8053.173637999999
35,2000,YR2000,Canada,CAN,33.3,5.423319817,4.917762744,37194.3956
40,2000,YR2000,Chile,CHL,52.8,3.77583003,5.326938419,15638.00094
42,2000,YR2000,Colombia,COL,58.7,3.511209965,2.924861483,9042.662790999999
46,2000,YR2000,Costa Rica,CRI,47.4,4.666950226,3.868718088,12624.07057
53,2000,YR2000,Denmark,DNK,23.8,8.084340096,3.746862595,48907.0114
56,2000,YR2000,Dominican Republic,DOM,51.5,1.8882900480000002,4.66176228,9322.139196
57,2000,YR2000,Ecuador,ECU,56.4,1.1509300470000001,1.091801564,8176.344448000001
59,2000,YR2000,El Salvador,SLV,51.5,2.838680029,1.12605705,6548.63137
63,2000,YR2000,Eswatini,SWZ,53.1,5.508480072,1.76017376,5579.1365590000005
67,2000,YR2000,Finland,FIN,27.2,5.7093000410000005,5.773362457999999,39894.19446
72,2000,YR2000,Georgia,GEO,40.5,2.1810500619999997,1.838341066,4919.231879999999
76,2000,YR2000,Greece,GRC,34.2,3.2301900389999996,3.9197707939999997,29186.32455
93,2000,YR2000,Ireland,IRL,33.0,4.1358900069999995,9.399418006,47996.98229
96,2000,YR2000,Italy,ITA,35.3,4.291079998,3.786955143,43053.93306
107,2000,YR2000,Kyrgyz Republic,KGZ,31.0,3.50838995,5.4433366329999995,3078.909252
127,2000,YR2000,Mexico,MEX,52.6,3.992439985,4.942453715,17756.566469999998
129,2000,YR2000,Moldova,MDA,36.4,4.486390114,2.107716048,5074.377064
147,2000,YR2000,Norway,NOR,27.4,6.467269897,3.204979222,57127.39975
151,2000,YR2000,Panama,PAN,56.6,4.759689808,2.715374155,14507.79597
154,2000,YR2000,Peru,PER,49.1,3.2280299660000003,2.694371398,6422.480568
155,2000,YR2000,Philippines,PHL,47.7,3.164400101,4.411222158999999,4453.7566719999995
161,2000,YR2000,Russian Federation,RUS,37.1,2.93979001,10.00006682,14569.936580000001
162,2000,YR2000,Rwanda,RWA,48.5,3.436359882,8.37091824,867.6151907
177,2000,YR2000,South Africa,ZAF,57.8,5.443580151,4.200003476,10088.85225
179,2000,YR2000,Spain,ESP,34.3,4.166049957,5.24599468,34757.61502
187,2000,YR2000,Sweden,SWE,27.2,6.740149975,4.766348871,40625.36205
188,2000,YR2000,Switzerland,CHE,33.4,4.648369789,3.9764092339999997,59389.424060000005
192,2000,YR2000,Thailand,THA,42.8,5.25345993,4.455247043,9809.622370000001
195,2000,YR2000,Tonga,TON,37.7,4.8780798910000005,0.8759900629999999,5034.415166
197,2000,YR2000,Tunisia,TUN,40.8,6.201960087000001,4.709972903,7329.345126
205,2000,YR2000,United Kingdom,GBR,38.4,4.031730175,3.506217426,38280.80027
207,2000,YR2000,Uruguay,URY,42.9,2.4225499630000003,-1.929930638,14482.75455
224,2001,YR2001,Argentina,ARG,53.3,4.8337402339999995,-4.408839683,17610.755390000002
225,2001,YR2001,Armenia,ARM,35.4,2.469439983,9.599999999,4464.3858310000005
229,2001,YR2001,Azerbaijan,AZE,36.5,3.503420115,9.90000013,4431.289873
243,2001,YR2001,Brazil,BRA,58.4,3.8446800710000004,1.389896403,11602.4996
251,2001,YR2001,Cameroon,CMR,42.1,2.424180031,4.368084242,2795.872001
259,2001,YR2001,Colombia,COL,57.5,3.7086799139999997,1.677898308,9051.414235
263,2001,YR2001,Costa Rica,CRI,51.5,4.832029819,3.491169873,12832.57368
273,2001,YR2001,Dominican Republic,DOM,50.0,1.9678299430000001,2.459516368,9410.032484000001
289,2001,YR2001,Georgia,GEO,39.6,2.137500048,4.805453273,5236.222806000001
307,2001,YR2001,Indonesia,IDN,29.0,2.460030079,3.6434664469999998,5816.425412
312,2001,YR2001,Israel,ISR,38.9,6.362279892,0.099450952,30715.58046
