Country Name,International migrant stock (% of population),Government expenditure on education
Afghanistan,1.175546927,3.255800009
Albania,1.98903641,3.437969923
Algeria,0.611072023,..
American Samoa,41.80200943,..
Andorra,59.7136492,3.28034997
Angola,0.42700468,3.486900091
Antigua and Barbuda,30.58550611,..
Argentina,4.805292335,5.776110172
Armenia,6.335892888,2.80591011
Aruba,34.76210186,5.888269901
Australia,28.21840969,5.311270237
Austria,17.46572625,5.456580162
Azerbaijan,2.709061584,2.951679945
"Bahamas, The",15.28430309,2.288320065
Bahrain,51.12678501,2.674540043
Bangladesh,0.883753735,..
Barbados,12.12990166,5.382919788
Belarus,11.40401056,4.787519932
Belgium,12.28353319,6.451570034
Belize,14.99080123,6.870150089
Benin,2.255540965,3.17298007
Bermuda,30.84639701,1.501639962
Bhutan,6.595769395,7.590099812
Bolivia,1.333267442,..
Bosnia and Herzegovina,0.91336484,..
Botswana,7.100334367,7.806519985
Brazil,0.3433132,6.24105978
British Virgin Islands,57.46920344,5.134789944
Brunei Darussalam,24.27597191,..
Bulgaria,1.428196392,..
Burkina Faso,3.892039853,3.67008996
Burundi,2.565632229,6.370540142
Cabo Verde,2.867232018,5.266910076
Cambodia,0.474794451,..
Cameroon,1.636313704,2.768049955
Canada,21.80166365,..
Cayman Islands,39.56509414,..
Central African Republic,1.665172192,1.910230041
Chad,3.682771371,2.400000095
Channel Islands,50.28162647,..
Chile,2.615513217,4.875309944
China,0.071076396,3.82487011
Colombia,0.276047227,4.470389843
Comoros,1.592316297,2.545059919
"Congo, Dem. Rep.",0.706246281,2.170439959
"Congo, Rep.",8.505799369,3.282579899
Costa Rica,8.771009911,6.87349987
Cote d'Ivoire,9.582598655,3.494159937
Croatia,13.60471399,..
Cuba,0.117089665,..
Curacao,23.92511593,..
Cyprus,16.83403415,6.326129913
Czech Republic,3.84222568,5.751820087
Denmark,10.09899135,..
Djibouti,12.65412041,3.590240002
Dominica,9.246009906,3.408580065
Dominican Republic,3.947079853,3.816240072
Ecuador,2.400299101,4.998700142
"Egypt, Arab Rep.",0.537267287,3.930850029
El Salvador,0.686271613,3.909879923
Equatorial Guinea,1.280974132,..
Eritrea,..,..
Estonia,15.41630922,5.106850147
Eswatini,2.453747951,5.355750084
Ethiopia,1.079526012,4.737919807
Faroe Islands,11.44629557,7.712419987
Fiji,1.541341374,4.809319973
Finland,5.739683257,7.032080173
France,12.08847938,..
French Polynesia,10.63006606,..
Gabon,15.55585953,2.900000095
"Gambia, The",9.670886483,2.160029888
Georgia,4.220248352,3.164870024
Germany,14.8790513,4.855150223
Ghana,1.457397152,4.612130165
Gibraltar,34.34522147,..
Greece,11.34237737,3.666769981
Greenland,10.69483501,12.00459957
Grenada,6.606131524,4.238609791
Guam,44.78853342,..
Guatemala,0.467187672,3.030329943
Guinea,1.811566559,2.517139912
