Series Name,Series Code,Time,Time Code,Value
"Population, total",SP.POP.TOTL,1960,YR1960,3032156070
"Population, total",SP.POP.TOTL,1961,YR1961,3071596055
"Population, total",SP.POP.TOTL,1962,YR1962,3124561005
"Population, total",SP.POP.TOTL,1963,YR1963,3189655687
"Population, total",SP.POP.TOTL,1964,YR1964,3255145692
"Population, total",SP.POP.TOTL,1965,YR1965,3322046795
"Population, total",SP.POP.TOTL,1966,YR1966,3392097729
"Population, total",SP.POP.TOTL,1967,YR1967,3461619724
"Population, total",SP.POP.TOTL,1968,YR1968,3532782993
"Population, total",SP.POP.TOTL,1969,YR1969,3606553753
"Population, total",SP.POP.TOTL,1970,YR1970,3681975908
"Population, total",SP.POP.TOTL,1971,YR1971,3760516757
"Population, total",SP.POP.TOTL,1972,YR1972,3836900801
"Population, total",SP.POP.TOTL,1973,YR1973,3912984371
"Population, total",SP.POP.TOTL,1974,YR1974,3988487336
"Population, total",SP.POP.TOTL,1975,YR1975,4062507027
"Population, total",SP.POP.TOTL,1976,YR1976,4135432265
"Population, total",SP.POP.TOTL,1977,YR1977,4207786422
"Population, total",SP.POP.TOTL,1978,YR1978,4281339378
"Population, total",SP.POP.TOTL,1979,YR1979,4356778367
"Population, total",SP.POP.TOTL,1980,YR1980,4432963653
"Population, total",SP.POP.TOTL,1981,YR1981,4511164132
"Population, total",SP.POP.TOTL,1982,YR1982,4592387213
"Population, total",SP.POP.TOTL,1983,YR1983,4674330282
"Population, total",SP.POP.TOTL,1984,YR1984,4755996689
"Population, total",SP.POP.TOTL,1985,YR1985,4839176734
"Population, total",SP.POP.TOTL,1986,YR1986,4924747934
"Population, total",SP.POP.TOTL,1987,YR1987,5012556248
"Population, total",SP.POP.TOTL,1988,YR1988,5101287675
"Population, total",SP.POP.TOTL,1989,YR1989,5189977062
"Population, total",SP.POP.TOTL,1990,YR1990,5280046096
"Population, total",SP.POP.TOTL,1991,YR1991,5368139468
"Population, total",SP.POP.TOTL,1992,YR1992,5452576447
"Population, total",SP.POP.TOTL,1993,YR1993,5537885552
"Population, total",SP.POP.TOTL,1994,YR1994,5622085788
"Population, total",SP.POP.TOTL,1995,YR1995,5706753900
"Population, total",SP.POP.TOTL,1996,YR1996,5789655609
"Population, total",SP.POP.TOTL,1997,YR1997,5872286683
"Population, total",SP.POP.TOTL,1998,YR1998,5954005906
"Population, total",SP.POP.TOTL,1999,YR1999,6034491620
"Population, total",SP.POP.TOTL,2000,YR2000,6114332517
"Population, total",SP.POP.TOTL,2001,YR2001,6193671694
"Population, total",SP.POP.TOTL,2002,YR2002,6272753009
"Population, total",SP.POP.TOTL,2003,YR2003,6351882385
"Population, total",SP.POP.TOTL,2004,YR2004,6431551721
"Population, total",SP.POP.TOTL,2005,YR2005,6511748273
"Population, total",SP.POP.TOTL,2006,YR2006,6592734559
"Population, total",SP.POP.TOTL,2007,YR2007,6674203697
"Population, total",SP.POP.TOTL,2008,YR2008,6757020825
"Population, total",SP.POP.TOTL,2009,YR2009,6839574233
"Population, total",SP.POP.TOTL,2010,YR2010,6921877071
"Population, total",SP.POP.TOTL,2011,YR2011,7002880914
"Population, total",SP.POP.TOTL,2012,YR2012,7085790438
"Population, total",SP.POP.TOTL,2013,YR2013,7169675197
"Population, total",SP.POP.TOTL,2014,YR2014,7254292848
"Population, total",SP.POP.TOTL,2015,YR2015,7339076654
"Population, total",SP.POP.TOTL,2016,YR2016,7424484741
"Population, total",SP.POP.TOTL,2017,YR2017,7509410228
"Population, total",SP.POP.TOTL,2018,YR2018,7592475615
"Population, total",SP.POP.TOTL,2019,YR2019,7673345391
"Population, total",SP.POP.TOTL,2020,YR2020,7752840547
"Population, total",SP.POP.TOTL,2030,YR2030,8600000000
"Population, total",SP.POP.TOTL,2050,YR2050,9800000000
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/28/2021,,,,
