country,healthShare,eduShare
Afghanistan,0.48597482,3.199790001
Albania,2.84153938,..
Algeria,4.09385347,5.866350174
American Samoa,..,..
Andorra,4.55864906,3.246720076
Angola,1.06878364,2.044699907
Antigua and Barbuda,2.90411592,2.644079924
Argentina,5.91017103,4.945519924
Armenia,1.23714364,2.255870104
Aruba,..,..
Australia,6.41243744,5.107890129
Austria,7.5464735,5.225359917
Azerbaijan,0.9321152,2.455430031
"Bahamas, The",3.13811374,2.309520006
Bahrain,2.43187261,..
Bangladesh,0.3977879,..
Barbados,2.93843102,5.428860188
Belarus,3.97420192,5.381110191
Belgium,7.8199439,6.376639843
Belize,3.90398026,7.472270012
Benin,0.49050966,2.933969975
Bermuda,..,..
Bhutan,2.43216681,6.850840092
Bolivia,4.48434305,..
Bosnia and Herzegovina,6.21318245,..
Botswana,4.53097391,6.721330166
Brazil,3.96481943,6.088510036
British Virgin Islands,..,2.694129944
Brunei Darussalam,2.29566693,..
Bulgaria,4.23436928,..
Burkina Faso,2.3925395,5.430560112
Burundi,1.90243125,5.078649998
Cabo Verde,3.22480845,5.368850231
Cambodia,1.28203905,2.162859917
Cameroon,0.21037169,3.131200075
Canada,7.93011045,..
Cayman Islands,..,..
Central African Republic,0.68838823,1.565879941
Chad,0.69685549,2.25948
Channel Islands,..,..
Chile,4.64688587,5.433169842
China,3.018888,3.542490005
Colombia,5.47120094,4.449100018
Comoros,0.42495197,..
"Congo, Dem. Rep.",0.49770063,..
"Congo, Rep.",0.78597683,3.001470089
Costa Rica,5.47541523,6.779069901
Cote d'Ivoire,1.20726717,3.239939928
Croatia,5.68072224,..
Cuba,9.94623375,..
Curacao,..,..
Cyprus,2.89758873,..
Czech Republic,6.32395458,4.26692009
Denmark,8.44737244,..
Djibouti,1.15207028,3.627739906
Dominica,4.27209282,5.571549892
Dominican Republic,2.54011798,3.928489923
Ecuador,4.23046207,4.621459961
"Egypt, Arab Rep.",1.42153192,..
El Salvador,4.53943443,3.605750084
Equatorial Guinea,0.59562802,..
Eritrea,0.63723993,..
Estonia,4.92055178,5.238870144
Eswatini,2.14985657,5.679160118
Ethiopia,0.7701149,5.06867981
Faroe Islands,..,..
Fiji,2.33869004,4.835710049
Finland,7.09943485,6.269299984
France,8.26006222,5.413169861
French Polynesia,..,..
Gabon,1.60855591,2.933459997
"Gambia, The",0.94653189,2.365439892
Georgia,2.80701351,3.52105999
Germany,8.87924862,4.992740154
Ghana,1.37637711,4.004129887
Gibraltar,..,..
Greece,4.00687885,3.593950033
Greenland,..,10.5601902
Grenada,1.70504856,3.552550077
Guam,..,..
Guatemala,2.05508208,3.137049913
Guinea,0.6463778,2.384320021
Guinea-Bissau,0.64091021,2.137870073
Guyana,3.67280507,4.45058012
Haiti,0.92181933,1.682100058
Honduras,2.8381052,6.056469917
"Hong Kong SAR, China",..,3.326519966
Hungary,4.6297884,4.627309799
Iceland,6.97632265,7.574059963
India,0.95529789,..
Indonesia,1.41601324,3
"Iran, Islamic Rep.",3.97810006,3.955359936
Iraq,1.9763943,..
Ireland,5.11970377,3.383090019
Isle of Man,..,..
Israel,4.86383152,6.164899826
Italy,6.40437317,4.255720139
Jamaica,3.93620682,5.413809776
Japan,9.21061611,..
Jordan,3.83110499,2.984810114
Kazakhstan,1.77772903,2.615950108
Kenya,2.17734981,5.306250095
Kiribati,9.25310516,11.96829033
"Korea, Dem. People's Rep.",..,..
"Korea, Rep.",4.42084885,4.458079815
Kosovo,..,..
Kuwait,4.40143347,6.38917017
Kyrgyz Republic,2.79898,5.552670002
Lao PDR,0.8692286,..
Latvia,3.69595933,4.245170116
Lebanon,4.17827749,2.524470091
Lesotho,5.39025688,7.285359859
Liberia,1.69556665,2.584120035
Libya,..,..
Liechtenstein,..,..
Lithuania,4.32588911,3.894959927
Luxembourg,4.48882246,3.666260004
"Macao SAR, China",..,2.727880001
Madagascar,1.71139181,2.874520063
Malawi,2.69569468,3.381939888
Malaysia,1.92251933,4.479599953
Maldives,6.64666605,3.912489891
Mali,1.09631753,3.882529974
Malta,5.6904974,..
Marshall Islands,7.62247944,..
Mauritania,1.64334965,..
Mauritius,2.51386142,4.834589958
Mexico,2.68957853,4.254429817
"Micronesia, Fed. Sts.",3.31426215,9.697050095
Moldova,3.72814417,5.439730167
Monaco,1.36923087,..
Mongolia,2.22274852,6.173019886
Montenegro,5.05507421,..
Morocco,2.13520813,..
Mozambique,1.73058236,5.452189922
Myanmar,0.71048534,1.922889948
Namibia,3.66205049,8.988050461
Nauru,7.927073,..
Nepal,1.4629916,4.43445015
Netherlands,6.47513723,5.357649803
New Caledonia,..,..
New Zealand,6.89220285,6.048500061
Nicaragua,5.12276936,3.562550068
Niger,2.43483281,3.44698
Nigeria,0.57829392,..
North Macedonia,3.7734344,..
Northern Mariana Islands,..,..
Norway,8.57445526,7.644110203
Oman,3.62180948,5.207230091
Pakistan,1.13782847,..
Palau,6.40163565,..
Panama,4.64304161,2.88293004
Papua New Guinea,1.65798402,1.874830008
Paraguay,2.91192317,3.283200026
Peru,3.27977324,3.714299917
Philippines,1.43694162,3.133100033
Poland,4.50037479,4.615799904
Portugal,5.78124619,4.675159931
Puerto Rico,..,..
Qatar,1.86285079,..
Romania,4.42809868,3.344749928
Russian Federation,3.16065264,4.678199768
Rwanda,2.3743403,3.073750019
Samoa,3.76377249,4.532149792
San Marino,5.99624014,3.555160046
Sao Tome and Principe,2.75483108,5.235109806
Saudi Arabia,3.97201705,..
Senegal,0.94568121,4.8582201
Serbia,5.0694294,3.582319975
Seychelles,3.80567455,4.498839855
Sierra Leone,1.56026566,6.989630222
Singapore,2.24764204,2.645090103
Sint Maarten (Dutch part),..,..
Slovak Republic,5.29823923,3.975830078
Slovenia,6.0091486,4.936039925
Solomon Islands,3.53729272,..
Somalia,..,..
South Africa,4.46094179,6.158989906
South Sudan,0.68977404,..
Spain,6.32039309,4.178160191
Sri Lanka,1.54440343,2.135390043
St. Kitts and Nevis,2.47085404,..
St. Lucia,2.07827044,3.331799984
St. Martin (French part),..,..
St. Vincent and the Grenadines,3.05141592,5.693779945
Sudan,1.03099167,..
Suriname,5.25434208,5.688600063
Sweden,9.27377033,7.640840054
Switzerland,3.70784402,4.86093998
Syrian Arab Republic,..,..
Tajikistan,1.95795763,5.5583601
Tanzania,1.55844319,3.696439981
Thailand,2.89305043,3.056770086
Timor-Leste,2.62370276,6.830910206
Togo,1.05069971,4.043940067
Tonga,3.22333765,6.372910023
Trinidad and Tobago,3.4165163,3.286240101
Tunisia,4.18335724,..
Turkey,3.1913538,4.29460001
Turkmenistan,1.19694495,..
Turks and Caicos Islands,..,2.743769884
Tuvalu,15.21263409,..
Uganda,1.03315341,2.130520105
Ukraine,3.70307088,5.319479942
United Arab Emirates,2.17965603,..
United Kingdom,7.85798359,5.238900185
United States,8.51236343,..
Uruguay,6.71492577,4.662799835
Uzbekistan,2.01971412,5.900000095
Vanuatu,2.1413815,..
"Venezuela, RB",1.70465469,..
Vietnam,2.69621015,4.167449951
Virgin Islands (U.S.),..,..
West Bank and Gaza,..,5.318870068
"Yemen, Rep.",..,..
Zambia,1.92871916,4.739739895
Zimbabwe,1.3242476,3.587280035
