Country Name,International migrant stock ,GDP per capita 
Afghanistan,1.175546927,578.4663529
Albania,1.98903641,3952.801215
Algeria,0.611072023,4177.886892
American Samoa,41.80200943,12059.63516
Andorra,59.7136492,35770.7767
Angola,0.42700468,4166.979833
Antigua and Barbuda,30.58550611,14285.32978
Argentina,4.805292335,13789.06042
Armenia,6.335892888,3607.289299
Aruba,34.76210186,28396.90842
Australia,28.21840969,56755.72171
Austria,17.46572625,44178.04738
Azerbaijan,2.709061584,5500.310382
"Bahamas, The",15.28430309,31295.56387
Bahrain,51.12678501,22634.08565
Bangladesh,0.883753735,1248.45331
Barbados,12.12990166,16524.8995
Belarus,11.40401056,5949.106307
Belgium,12.28353319,40991.80814
Belize,14.99080123,4770.232656
Benin,2.255540965,1076.796702
Bermuda,30.84639701,102005.6256
Bhutan,6.595769395,2752.630172
Bolivia,1.333267442,3035.971655
Bosnia and Herzegovina,0.91336484,4727.276333
Botswana,7.100334367,6799.870178
Brazil,0.3433132,8814.001418
British Virgin Islands,57.46920344,..
Brunei Darussalam,24.27597191,31164.03625
Bulgaria,1.428196392,7055.935673
Burkina Faso,3.892039853,653.3272681
Burundi,2.565632229,305.549646
Cabo Verde,2.867232018,3043.031382
Cambodia,0.474794451,1162.904995
Cameroon,1.636313704,1327.502561
Canada,21.80166365,43596.13554
Cayman Islands,39.56509414,76284.19393
Central African Republic,1.665172192,377.422919
Chad,3.682771371,776.0197523
Channel Islands,50.28162647,..
Chile,2.615513217,13574.16924
China,0.071076396,8066.942635
Colombia,0.276047227,6175.87603
Comoros,1.592316297,1242.585682
"Congo, Dem. Rep.",0.706246281,497.3170391
"Congo, Rep.",8.505799369,2447.539308
Costa Rica,8.771009911,11642.77805
Cote d'Ivoire,9.582598655,1972.545683
Croatia,13.60471399,11781.73479
Cuba,0.117089665,7694.014637
Curacao,23.92511593,19951.3279
Cyprus,16.83403415,23408.33668
Czech Republic,3.84222568,17829.69832
Denmark,10.09899135,53254.85637
Djibouti,12.65412041,2658.964207
Dominica,9.246009906,7597.288894
Dominican Republic,3.947079853,6921.520594
Ecuador,2.400299101,6124.490887
"Egypt, Arab Rep.",0.537267287,3562.932658
El Salvador,0.686271613,3705.579704
Equatorial Guinea,1.280974132,11283.39805
Eritrea,..,..
Estonia,15.41630922,17395.04062
Eswatini,2.453747951,3679.819798
Ethiopia,1.079526012,640.5419231
Faroe Islands,11.44629557,52400.29728
Fiji,1.541341374,5390.714207
Finland,5.739683257,42784.69836
France,12.08847938,36638.18493
French Polynesia,10.63006606,..
Gabon,15.55585953,7384.700704
"Gambia, The",9.670886483,660.7235712
Georgia,4.220248352,4014.185944
Germany,14.8790513,41086.72967
Ghana,1.457397152,1705.575082
Gibraltar,34.34522147,..
Greece,11.34237737,18050.09761
Greenland,10.69483501,44536.40131
Grenada,6.606131524,9096.538652
Guam,44.78853342,35829.25036
Guatemala,0.467187672,3994.636913
Guinea,1.811566559,769.2554754
Guinea-Bissau,1.210903718,603.3993815
Guyana,2.005514382,5576.82607
Haiti,0.3690482,1389.119779
Honduras,0.347613516,2302.204411
"Hong Kong SAR, China",38.94993992,42431.88828
Hungary,4.562465252,12706.89121
Iceland,11.3901495,52951.68151
India,0.399752709,1605.605445
Indonesia,0.127675543,3331.695115
"Iran, Islamic Rep.",3.446397535,4904.327315
Iraq,0.971576098,4688.318017
Ireland,15.91693657,61987.551
Isle of Man,51.51629073,85126.97047
Israel,24.94690004,35813.71341
Italy,9.680767742,30230.2263
Jamaica,0.829367047,4907.927415
Japan,1.614775057,34960.63938
Jordan,40.9771116,4164.108769
Kazakhstan,20.12330509,10510.77189
Kenya,2.354722885,1336.883265
Kiribati,2.80458625,1542.616968
"Korea, Dem. People's Rep.",0.192635219,..
"Korea, Rep.",2.639159354,28732.23108
Kosovo,..,3603.025501
Kuwait,73.63955073,29869.55275
Kyrgyz Republic,3.440796423,1121.082835
Lao PDR,0.327020359,2134.713062
Latvia,13.35324026,13774.60527
Lebanon,34.1456803,7644.545147
Lesotho,0.307818842,1146.064688
Liberia,2.526491982,710.3840166
Libya,12.28244987,4337.919139
Liechtenstein,62.59625376,167313.2663
Lithuania,4.726089623,14258.22933
Luxembourg,43.96413394,101376.4966
"Macao SAR, China",58.32190277,74839.33204
Madagascar,0.132347777,467.2355537
Malawi,1.249811795,380.5969877
Malaysia,8.289348916,9955.242722
Maldives,25.87218175,9033.459724
Mali,2.063359738,751.4728866
Malta,9.898488069,24921.60368
Marshall Islands,6.197044893,3199.886846
Mauritania,3.396676733,1524.071753
Mauritius,2.24510922,9260.447303
Mexico,0.939364727,9616.645558
"Micronesia, Fed. Sts.",2.638330461,2906.617012
Moldova,3.512106598,2732.457113
Monaco,55.76846625,165989.5051
Mongolia,0.595444478,3918.587015
Montenegro,13.19007768,6517.163752
Morocco,0.257467738,2875.257985
Mozambique,0.796801385,589.85905
Myanmar,0.136014603,1144.474341
Namibia,3.818401435,4896.61526
Nauru,31.0898063,8365.07289
Nepal,1.817645553,901.7496077
Netherlands,11.69568274,45175.23189
New Caledonia,24.43390418,..
New Zealand,22.95970035,38630.72659
Nicaragua,0.661982706,2049.851666
Niger,0.951072208,484.2386326
Nigeria,0.658124088,2687.480056
North Macedonia,6.289774173,4843.492387
Northern Mariana Islands,39.30996913,16314.38355
Norway,14.23561116,74355.51586
Oman,41.08587362,16033.46383
Pakistan,1.920846061,1356.667831
Palau,26.60278991,15876.46193
Panama,4.701027527,13630.32287
Papua New Guinea,0.338376609,2679.346579
Paraguay,2.356666686,5413.776021
Peru,0.289645141,6229.100674
Philippines,0.210390539,3001.043182
Poland,1.604180837,12578.49547
Portugal,8.089593589,19242.36647
Puerto Rico,7.465496392,29763.4883
Qatar,75.49762789,63039.11263
Romania,1.163134803,8969.148921
Russian Federation,8.11621786,9313.013625
Rwanda,3.803080984,751.0773926
Samoa,2.550872544,4073.729164
San Marino,14.84220132,42662.90265
Sao Tome and Principe,1.25772286,1584.775657
Saudi Arabia,32.29494249,20627.92693
Senegal,1.739951417,1219.249415
Serbia,9.122622084,5588.980728
Seychelles,13.25890682,14745.34146
Sierra Leone,1.413457295,588.2288628
Singapore,45.39179191,55646.61875
Sint Maarten (Dutch part),70.44779972,32274.89055
Slovak Republic,3.265417899,16310.98841
Slovenia,11.41296409,20881.76693
