Country,ImmShare,HealthExpPC
Afghanistan,1.175546927,9.89198589
Albania,1.98903641,317.4503784
Algeria,0.611072023,723.3528442
American Samoa,41.80200943,..
Andorra,59.7136492,2135.967285
Angola,0.42700468,87.58914185
Antigua and Barbuda,30.58550611,707.7562256
Argentina,4.805292335,1404.375122
Armenia,6.335892888,140.5290833
Aruba,34.76210186,..
Australia,28.21840969,2993.515625
Austria,17.46572625,3772.072266
Azerbaijan,2.709061584,234.7674103
"Bahamas, The",15.28430309,709.1470337
Bahrain,51.12678501,1514.304199
Bangladesh,0.883753735,16.06133842
Barbados,12.12990166,555.2029419
Belarus,11.40401056,681.5889893
Belgium,12.28353319,3661.841309
Belize,14.99080123,337.7537231
Benin,2.255540965,17.05869675
Bermuda,30.84639701,..
Bhutan,6.595769395,231.4530182
Bolivia,1.333267442,296.390625
Bosnia and Herzegovina,0.91336484,776.1651611
Botswana,7.100334367,648.913147
Brazil,0.3433132,601.925293
British Virgin Islands,57.46920344,..
Brunei Darussalam,24.27597191,1818.724243
Bulgaria,1.428196392,757.5176392
Burkina Faso,3.892039853,28.18101501
Burundi,2.565632229,18.49005699
Cabo Verde,2.867232018,203.6509552
Cambodia,0.474794451,47.24868011
Cameroon,1.636313704,13.04211998
Canada,21.80166365,3501.774902
Cayman Islands,39.56509414,..
Central African Republic,1.665172192,3.39488745
Chad,3.682771371,21.08444023
Channel Islands,50.28162647,..
Chile,2.615513217,904.4985352
China,0.071076396,422.4336548
Colombia,0.276047227,746.3728027
Comoros,1.592316297,20.26041603
"Congo, Dem. Rep.",0.706246281,5.74055386
"Congo, Rep.",8.505799369,94.68057251
Costa Rica,8.771009911,887.9005127
Cote d'Ivoire,9.582598655,37.3093605
Croatia,13.60471399,1291.105835
Cuba,0.117089665,2872.835449
Curacao,23.92511593,..
Cyprus,16.83403415,908.7811279
Czech Republic,3.84222568,2008.120972
Denmark,10.09899135,4241.456055
Djibouti,12.65412041,82.47451782
Dominica,9.246009906,353.1532898
Dominican Republic,3.947079853,344.6763001
Ecuador,2.400299101,484.8448486
"Egypt, Arab Rep.",0.537267287,182.3868866
El Salvador,0.686271613,365.6875916
Equatorial Guinea,1.280974132,164.0582733
Eritrea,..,12.05144787
