country,year,value,category
Russian Federation,2019,4.9,Russian
Russian Federation,2018,5.4,Russian
Russian Federation,2017,5.9,Russian
Russian Federation,2016,6.5,Russian
Russian Federation,2015,7,Russian
Russian Federation,2014,7.6,Russian
Russian Federation,2013,8.1,Russian
Russian Federation,2012,8.4,Russian
Russian Federation,2011,8.699999999999999,Russian
Russian Federation,2010,8.9,Russian
Russian Federation,2009,9.199999999999999,Russian
Russian Federation,2008,9.6,Russian
Russian Federation,2007,10.2,Russian
Russian Federation,2006,11,Russian
Russian Federation,2005,11.9,Russian
Russian Federation,2004,12.8,Russian
Russian Federation,2003,13.8,Russian
Russian Federation,2002,14.8,Russian
Russian Federation,2001,15.7,Russian
Russian Federation,2000,16.5,Russian
Russian Federation,1999,17.1,Russian
Russian Federation,1998,17.7,Russian
Russian Federation,1997,18.1,Russian
Russian Federation,1996,18.4,Russian
Russian Federation,1995,18.6,Russian
Russian Federation,1994,18.6,Russian
Russian Federation,1993,18.6,Russian
Russian Federation,1992,18.5,Russian
Russian Federation,1991,18.3,Russian
Russian Federation,1990,18.4,Russian
Russian Federation,1989,18.7,Russian
Russian Federation,1988,19.2,Russian
Russian Federation,1987,19.9,Russian
Russian Federation,1986,20.5,Russian
Russian Federation,1985,21.1,Russian
Russian Federation,1984,21.6,Russian
Russian Federation,1983,22,Russian
Russian Federation,1982,22.4,Russian
Russian Federation,1981,22.8,Russian
Russian Federation,1980,23.2,Russian
Russian Federation,1979,23.6,Russian
Russian Federation,1978,24,Russian
Russian Federation,1977,24.5,Russian
Russian Federation,1976,25.1,Russian
Russian Federation,1975,25.8,Russian
Russian Federation,1974,26.6,Russian
Russian Federation,1973,27.6,Russian
Russian Federation,1972,28.8,Russian
Russian Federation,1971,29.9,Russian
Estonia,2019,1.9,Russian
Estonia,2018,2,Russian
Estonia,2017,2.1,Russian
Estonia,2016,2.3,Russian
Estonia,2015,2.5,Russian
Estonia,2014,2.6,Russian
Estonia,2013,2.8,Russian
Estonia,2012,3.1,Russian
Estonia,2011,3.3,Russian
Estonia,2010,3.6,Russian
Estonia,2009,3.9,Russian
Estonia,2008,4.3,Russian
Estonia,2007,4.7,Russian
Estonia,2006,5.1,Russian
Estonia,2005,5.6,Russian
Estonia,2004,6.1,Russian
Estonia,2003,6.7,Russian
Estonia,2002,7.3,Russian
Estonia,2001,8,Russian
Estonia,2000,8.699999999999999,Russian
Estonia,1999,9.4,Russian
Estonia,1998,10.1,Russian
Estonia,1997,10.9,Russian
Estonia,1996,11.7,Russian
Estonia,1995,12.4,Russian
Estonia,1994,13,Russian
Estonia,1993,13.4,Russian
Estonia,1992,13.7,Russian
Estonia,1991,13.9,Russian
Estonia,1990,14,Russian
Estonia,1989,14.1,Russian
Estonia,1988,14.3,Russian
Estonia,1987,14.5,Russian
Estonia,1986,14.7,Russian
Estonia,1985,15.1,Russian
Estonia,1984,15.4,Russian
Estonia,1983,15.9,Russian
Estonia,1982,16.5,Russian
Estonia,1981,17.1,Russian
Estonia,1980,17.8,Russian
Latvia,2019,3.1,Russian
Latvia,2018,3.3,Russian
Latvia,2017,3.6,Russian
Latvia,2016,3.9,Russian
Latvia,2015,4.2,Russian
Latvia,2014,4.6,Russian
Latvia,2013,5.1,Russian
Latvia,2012,5.6,Russian
Latvia,2011,6.1,Russian
Latvia,2010,6.5,Russian
Latvia,2009,7,Russian
Latvia,2008,7.3,Russian
Latvia,2007,7.7,Russian
Latvia,2006,8.1,Russian
Latvia,2005,8.6,Russian
Latvia,2004,9.199999999999999,Russian
Latvia,2003,9.699999999999999,Russian
Latvia,2002,10.2,Russian
Latvia,2001,10.8,Russian
Latvia,2000,11.5,Russian
Latvia,1999,12.4,Russian
Latvia,1998,13.4,Russian
Latvia,1997,14.3,Russian
Latvia,1996,15.2,Russian
Latvia,1995,15.7,Russian
Latvia,1994,15.8,Russian
Latvia,1993,15.7,Russian
Latvia,1992,15.1,Russian
Latvia,1991,14.3,Russian
Latvia,1990,13.2,Russian
Latvia,1989,12.2,Russian
Latvia,1988,11.7,Russian
Latvia,1987,11.8,Russian
Latvia,1986,12.4,Russian
Latvia,1985,13.2,Russian
Latvia,1984,14.1,Russian
Latvia,1983,14.7,Russian
Latvia,1982,15.1,Russian
Latvia,1981,15.3,Russian
Latvia,1980,15.3,Russian
Latvia,1979,15.3,Russian
Lithuania,2019,3,Russian
Lithuania,2018,3.3,Russian
Lithuania,2017,3.6,Russian
Lithuania,2016,3.9,Russian
Lithuania,2015,4,Russian
Lithuania,2014,4,Russian
Lithuania,2013,4.1,Russian
Lithuania,2012,4.2,Russian
Lithuania,2011,4.5,Russian
Lithuania,2010,4.9,Russian
Lithuania,2009,5.4,Russian
Lithuania,2008,5.9,Russian
Lithuania,2007,6.5,Russian
Lithuania,2006,6.9,Russian
Lithuania,2005,7.3,Russian
Lithuania,2004,7.5,Russian
Lithuania,2003,7.6,Russian
Lithuania,2002,7.9,Russian
Lithuania,2001,8.199999999999999,Russian
Lithuania,2000,8.6,Russian
Lithuania,1999,8.9,Russian
