,country,year,value,category
1,Russian Federation,2019,4.9,Russian
2,Russian Federation,2018,5.4,Russian
3,Russian Federation,2017,5.9,Russian
4,Russian Federation,2016,6.5,Russian
5,Russian Federation,2015,7.0,Russian
6,Russian Federation,2014,7.6,Russian
7,Russian Federation,2013,8.1,Russian
8,Russian Federation,2012,8.4,Russian
9,Russian Federation,2011,8.7,Russian
10,Russian Federation,2010,8.9,Russian
11,Russian Federation,2009,9.2,Russian
12,Russian Federation,2008,9.6,Russian
13,Russian Federation,2007,10.2,Russian
14,Russian Federation,2006,11.0,Russian
15,Russian Federation,2005,11.9,Russian
16,Russian Federation,2004,12.8,Russian
17,Russian Federation,2003,13.8,Russian
18,Russian Federation,2002,14.8,Russian
19,Russian Federation,2001,15.7,Russian
20,Russian Federation,2000,16.5,Russian
21,Russian Federation,1999,17.1,Russian
22,Russian Federation,1998,17.7,Russian
23,Russian Federation,1997,18.1,Russian
24,Russian Federation,1996,18.4,Russian
25,Russian Federation,1995,18.6,Russian
26,Russian Federation,1994,18.6,Russian
27,Russian Federation,1993,18.6,Russian
28,Russian Federation,1992,18.5,Russian
29,Russian Federation,1991,18.3,Russian
30,Russian Federation,1990,18.4,Russian
31,Russian Federation,1989,18.7,Russian
32,Russian Federation,1988,19.2,Russian
33,Russian Federation,1987,19.9,Russian
34,Russian Federation,1986,20.5,Russian
35,Russian Federation,1985,21.1,Russian
36,Russian Federation,1984,21.6,Russian
37,Russian Federation,1983,22.0,Russian
38,Russian Federation,1982,22.4,Russian
39,Russian Federation,1981,22.8,Russian
40,Russian Federation,1980,23.2,Russian
41,Russian Federation,1979,23.6,Russian
42,Russian Federation,1978,24.0,Russian
43,Russian Federation,1977,24.5,Russian
44,Russian Federation,1976,25.1,Russian
45,Russian Federation,1975,25.8,Russian
46,Russian Federation,1974,26.6,Russian
47,Russian Federation,1973,27.6,Russian
48,Russian Federation,1972,28.8,Russian
49,Russian Federation,1971,29.9,Russian
51,Estonia,2019,1.9,Russian
52,Estonia,2018,2.0,Russian
53,Estonia,2017,2.1,Russian
54,Estonia,2016,2.3,Russian
55,Estonia,2015,2.5,Russian
56,Estonia,2014,2.6,Russian
57,Estonia,2013,2.8,Russian
58,Estonia,2012,3.1,Russian
59,Estonia,2011,3.3,Russian
60,Estonia,2010,3.6,Russian
61,Estonia,2009,3.9,Russian
62,Estonia,2008,4.3,Russian
63,Estonia,2007,4.7,Russian
64,Estonia,2006,5.1,Russian
65,Estonia,2005,5.6,Russian
66,Estonia,2004,6.1,Russian
67,Estonia,2003,6.7,Russian
68,Estonia,2002,7.3,Russian
69,Estonia,2001,8.0,Russian
70,Estonia,2000,8.7,Russian
71,Estonia,1999,9.4,Russian
72,Estonia,1998,10.1,Russian
73,Estonia,1997,10.9,Russian
74,Estonia,1996,11.7,Russian
75,Estonia,1995,12.4,Russian
76,Estonia,1994,13.0,Russian
77,Estonia,1993,13.4,Russian
78,Estonia,1992,13.7,Russian
79,Estonia,1991,13.9,Russian
80,Estonia,1990,14.0,Russian
81,Estonia,1989,14.1,Russian
