country,year,intserver,category
Russian Federation,2020,13344.7574836188,Russian
Russian Federation,2019,9336.908182949221,Russian
Russian Federation,2018,5190.62232227569,Russian
Russian Federation,2017,3541.09721465756,Russian
Russian Federation,2016,1163.94769306762,Russian
Russian Federation,2015,321.4018458555,Russian
Russian Federation,2014,120.359060489272,Russian
Russian Federation,2013,79.7313050837696,Russian
Russian Federation,2012,57.5761236835974,Russian
Russian Federation,2011,28.86103661289,Russian
Russian Federation,2010,17.0949184073965,Russian
Estonia,2020,84257.0979304417,Russian
Estonia,2019,83313.1107289332,Russian
Estonia,2018,48893.4376316683,Russian
Estonia,2017,29131.217625233,Russian
Estonia,2016,10786.6756853297,Russian
Estonia,2015,3120.70712714772,Russian
Estonia,2014,2194.67572430004,Russian
Estonia,2013,1613.81247453522,Russian
Estonia,2012,1255.76852126263,Russian
Estonia,2011,730.730376311077,Russian
Estonia,2010,535.496348035074,Russian
Latvia,2020,20317.1310952971,Russian
Latvia,2019,19857.6461133794,Russian
Latvia,2018,14504.1392214714,Russian
Latvia,2017,11948.0107586673,Russian
Latvia,2016,2938.44923571231,Russian
Latvia,2015,1312.75072350466,Russian
Latvia,2014,914.844250775662,Russian
Latvia,2013,710.507108300661,Russian
Latvia,2012,560.875654211557,Russian
Latvia,2011,326.745185849069,Russian
Latvia,2010,227.407624591489,Russian
Lithuania,2020,47131.3557805847,Russian
Lithuania,2019,31454.7926604887,Russian
Lithuania,2018,18267.076393259,Russian
Lithuania,2017,13058.2523070439,Russian
Lithuania,2016,4377.61114777715,Russian
Lithuania,2015,1185.23465442991,Russian
Lithuania,2014,752.975326758213,Russian
Lithuania,2013,636.307603673003,Russian
Lithuania,2012,449.833370875231,Russian
Lithuania,2011,249.990505644601,Russian
Lithuania,2010,177.252184334523,Russian
Belarus,2020,7550.57168736045,Russian
Belarus,2019,5750.67852061592,Russian
Belarus,2018,3436.88303102571,Russian
Belarus,2017,2269.27000337985,Russian
Belarus,2016,440.472390005723,Russian
Belarus,2015,107.91584382157,Russian
Belarus,2014,61.2794709009828,Russian
Belarus,2013,38.7580029716587,Russian
Belarus,2012,25.5111870260053,Russian
Belarus,2011,9.08933046829182,Russian
Belarus,2010,5.06124315097815,Russian
Ukraine,2020,8951.959856161229,Russian
Ukraine,2019,7867.01669435433,Russian
Ukraine,2018,6027.8086503321,Russian
Ukraine,2017,3948.26051136113,Russian
