LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,IMMIGINFLOW,WORK,NBR,A,2003,26615.757,
AUS,IMMIGINFLOW,WORK,NBR,A,2004,36650,
AUS,IMMIGINFLOW,WORK,NBR,A,2005,41154,
AUS,IMMIGINFLOW,WORK,NBR,A,2006,45057,
AUS,IMMIGINFLOW,WORK,NBR,A,2007,49648,
AUS,IMMIGINFLOW,WORK,NBR,A,2008,52323,
AUS,IMMIGINFLOW,WORK,NBR,A,2009,51649.65,
AUS,IMMIGINFLOW,WORK,NBR,A,2010,46491.108,
AUS,IMMIGINFLOW,WORK,NBR,A,2011,56180.15,
AUS,IMMIGINFLOW,WORK,NBR,A,2012,59733.625,
AUS,IMMIGINFLOW,WORK,NBR,A,2013,63067.797,
AUS,IMMIGINFLOW,WORK,NBR,A,2014,61575.45,
AUS,IMMIGINFLOW,WORK,NBR,A,2015,59542.684,
AUS,IMMIGINFLOW,WORK,NBR,A,2016,60675.6,
AUT,IMMIGINFLOW,WORK,NBR,A,2003,2166,
AUT,IMMIGINFLOW,WORK,NBR,A,2004,1478,
AUT,IMMIGINFLOW,WORK,NBR,A,2005,1514,
AUT,IMMIGINFLOW,WORK,NBR,A,2006,582,
AUT,IMMIGINFLOW,WORK,NBR,A,2007,737,
AUT,IMMIGINFLOW,WORK,NBR,A,2008,847,
AUT,IMMIGINFLOW,WORK,NBR,A,2009,556,
AUT,IMMIGINFLOW,WORK,NBR,A,2010,638,
AUT,IMMIGINFLOW,WORK,NBR,A,2011,1016,
AUT,IMMIGINFLOW,WORK,NBR,A,2012,4841,
AUT,IMMIGINFLOW,WORK,NBR,A,2013,4673,
AUT,IMMIGINFLOW,WORK,NBR,A,2014,4895,
AUT,IMMIGINFLOW,WORK,NBR,A,2015,5311,
AUT,IMMIGINFLOW,WORK,NBR,A,2016,5121,
BEL,IMMIGINFLOW,WORK,NBR,A,2005,3556,
BEL,IMMIGINFLOW,WORK,NBR,A,2006,4635,
BEL,IMMIGINFLOW,WORK,NBR,A,2007,2700.156,
BEL,IMMIGINFLOW,WORK,NBR,A,2008,3035,
BEL,IMMIGINFLOW,WORK,NBR,A,2009,3041,
BEL,IMMIGINFLOW,WORK,NBR,A,2010,2232,
BEL,IMMIGINFLOW,WORK,NBR,A,2011,2767,
BEL,IMMIGINFLOW,WORK,NBR,A,2012,2770,
BEL,IMMIGINFLOW,WORK,NBR,A,2013,2372,
BEL,IMMIGINFLOW,WORK,NBR,A,2014,2602,
BEL,IMMIGINFLOW,WORK,NBR,A,2015,2171,
BEL,IMMIGINFLOW,WORK,NBR,A,2016,2624,
CAN,IMMIGINFLOW,WORK,NBR,A,1995,43739,
CAN,IMMIGINFLOW,WORK,NBR,A,1996,51398,
CAN,IMMIGINFLOW,WORK,NBR,A,1997,52408,
CAN,IMMIGINFLOW,WORK,NBR,A,1998,41751,
CAN,IMMIGINFLOW,WORK,NBR,A,1999,47292,
CAN,IMMIGINFLOW,WORK,NBR,A,2000,58078,
CAN,IMMIGINFLOW,WORK,NBR,A,2001,65264,
CAN,IMMIGINFLOW,WORK,NBR,A,2002,58685,
CAN,IMMIGINFLOW,WORK,NBR,A,2003,52370,
CAN,IMMIGINFLOW,WORK,NBR,A,2004,55510,
CAN,IMMIGINFLOW,WORK,NBR,A,2005,61602,
CAN,IMMIGINFLOW,WORK,NBR,A,2006,55708,
CAN,IMMIGINFLOW,WORK,NBR,A,2007,53786,
CAN,IMMIGINFLOW,WORK,NBR,A,2008,61269,
CAN,IMMIGINFLOW,WORK,NBR,A,2009,63981,
CAN,IMMIGINFLOW,WORK,NBR,A,2010,76522,
CAN,IMMIGINFLOW,WORK,NBR,A,2011,64318,
CAN,IMMIGINFLOW,WORK,NBR,A,2012,68207,
CAN,IMMIGINFLOW,WORK,NBR,A,2013,64754,
CAN,IMMIGINFLOW,WORK,NBR,A,2014,78070,
CAN,IMMIGINFLOW,WORK,NBR,A,2015,76688,
CAN,IMMIGINFLOW,WORK,NBR,A,2016,69733,
DNK,IMMIGINFLOW,WORK,NBR,A,2003,2475,
DNK,IMMIGINFLOW,WORK,NBR,A,2004,2293,
DNK,IMMIGINFLOW,WORK,NBR,A,2005,2529,
DNK,IMMIGINFLOW,WORK,NBR,A,2006,3312,
DNK,IMMIGINFLOW,WORK,NBR,A,2007,5612,
DNK,IMMIGINFLOW,WORK,NBR,A,2008,5953,
DNK,IMMIGINFLOW,WORK,NBR,A,2009,6601,
DNK,IMMIGINFLOW,WORK,NBR,A,2010,8053,
DNK,IMMIGINFLOW,WORK,NBR,A,2011,6420,
DNK,IMMIGINFLOW,WORK,NBR,A,2012,5893,
DNK,IMMIGINFLOW,WORK,NBR,A,2013,7896,
DNK,IMMIGINFLOW,WORK,NBR,A,2014,7935,
DNK,IMMIGINFLOW,WORK,NBR,A,2015,7712,
DNK,IMMIGINFLOW,WORK,NBR,A,2016,8232,
FIN,IMMIGINFLOW,WORK,NBR,A,2006,1265.669,
FIN,IMMIGINFLOW,WORK,NBR,A,2007,2338.184,
FIN,IMMIGINFLOW,WORK,NBR,A,2008,3011.201,
FIN,IMMIGINFLOW,WORK,NBR,A,2009,1595.79,
FIN,IMMIGINFLOW,WORK,NBR,A,2010,1052.138,
FIN,IMMIGINFLOW,WORK,NBR,A,2011,1223.69,
FIN,IMMIGINFLOW,WORK,NBR,A,2012,1367.503,
FIN,IMMIGINFLOW,WORK,NBR,A,2013,1302.625,
FIN,IMMIGINFLOW,WORK,NBR,A,2014,1391.899,
FIN,IMMIGINFLOW,WORK,NBR,A,2015,1431,
FIN,IMMIGINFLOW,WORK,NBR,A,2016,1431,
FRA,IMMIGINFLOW,WORK,NBR,A,2001,9244,
FRA,IMMIGINFLOW,WORK,NBR,A,2002,7979,
FRA,IMMIGINFLOW,WORK,NBR,A,2003,6906,
FRA,IMMIGINFLOW,WORK,NBR,A,2004,7041,
FRA,IMMIGINFLOW,WORK,NBR,A,2005,10261,
FRA,IMMIGINFLOW,WORK,NBR,A,2006,12033.302,
FRA,IMMIGINFLOW,WORK,NBR,A,2007,15751.373,
FRA,IMMIGINFLOW,WORK,NBR,A,2008,23436.957,
FRA,IMMIGINFLOW,WORK,NBR,A,2009,22205.75,
FRA,IMMIGINFLOW,WORK,NBR,A,2010,20231.573,
FRA,IMMIGINFLOW,WORK,NBR,A,2011,19718.178,
FRA,IMMIGINFLOW,WORK,NBR,A,2012,19091.256,
FRA,IMMIGINFLOW,WORK,NBR,A,2013,20579.536,
FRA,IMMIGINFLOW,WORK,NBR,A,2014,22629.768,
FRA,IMMIGINFLOW,WORK,NBR,A,2015,25286.688,
FRA,IMMIGINFLOW,WORK,NBR,A,2016,27940.536,
DEU,IMMIGINFLOW,WORK,NBR,A,1999,8579,
DEU,IMMIGINFLOW,WORK,NBR,A,2000,9569,
DEU,IMMIGINFLOW,WORK,NBR,A,2001,15503,
DEU,IMMIGINFLOW,WORK,NBR,A,2002,12082,
DEU,IMMIGINFLOW,WORK,NBR,A,2003,11147,
