country,year,taxburden,gdppc,taxrev,category,taxrpc
Argentina,2013,64.3,20131.6804246983,12.4529027558077,Spanish,250697.86
Argentina,2014,63.5,19683.7715056442,12.6109666067191,Spanish,248231.39
Argentina,2015,66.8,20105.1989918165,12.3365069418291,Spanish,248027.92
Argentina,2016,66.09999999999989,20307.870052142,12.0972836411962,Spanish,245670.06
Argentina,2017,62.6119,23597.117752839,10.939623860491,Spanish,258143.59
Argentina,2018,65.7,23293.3986337639,9.99239008384335,Spanish,232756.72
Argentina,2019,69.3,22999.2750525577,10.4759215719336,Spanish,240938.61
Armenia,2013,88,9835.802460919849,21.5862138752919,Russian,212317.73
Armenia,2014,86.5,10036.8898405952,21.5991745525223,Russian,216788.53
Armenia,2015,84.40000000000001,9969.664853978231,20.931220827141,Russian,208677.25
Armenia,2016,83.8,10704.2297624759,21.2773752756378,Russian,227757.91
Armenia,2017,83.7175,12115.1392902637,20.7806533587524,Russian,251760.52
Armenia,2018,84.7,13020.3963185992,20.8701039031814,Russian,271737.03
Armenia,2019,84.7,14231.1801885329,22.2851709900772,Russian,317144.28
Azerbaijan,2013,85.5,17188.9455056612,13.3883331614589,Russian,230131.33
Azerbaijan,2014,88.09999999999989,17443.8782563093,14.2125356482603,Russian,247921.73
Azerbaijan,2015,88.09999999999989,14938.4011276715,15.6031629275469,Russian,233086.31
Azerbaijan,2016,88,14371.0227410092,14.5555165725558,Russian,209177.66
Azerbaijan,2017,87.7336,14121.4069355591,13.1640455061148,Russian,185894.84
Azerbaijan,2018,87.5,14550.7628169318,12.9712717874444,Russian,188741.91
Azerbaijan,2019,87.5,15052.7938701564,14.2188526451777,Russian,214033.45
Belarus,2013,88.8,18994.1901887615,13.3549628478795,Russian,253666.7
Belarus,2014,89.2,19008.0610153147,12.6977245264198,Russian,241359.13
Belarus,2015,86.40000000000001,18095.6651782737,14.1730944654204,Russian,256471.58
Belarus,2016,88.59999999999989,17785.9431970966,13.7882356123814,Russian,245236.78
Belarus,2017,89.78,18356.1007741722,13.0190056104974,Russian,238978.17
Belarus,2018,89.8,19430.2787724315,14.6725689698389,Russian,285092.09
Belarus,2019,89.40000000000001,20094.5258122074,13.3015061393462,Russian,267287.47
Colombia,2013,76.09999999999989,12727.764931531,14.0221143464507,Spanish,178470.17
Colombia,2014,80.59999999999989,13307.4245015783,15.6997483720014,Spanish,208923.22
Colombia,2015,80.3,13265.7972569151,15.797262655066,Spanish,209563.28
Colombia,2016,80.09999999999989,13812.0960563446,14.3852129298513,Spanish,198689.94
Colombia,2017,80.0711,14171.3205005648,14.8508184081791,Spanish,210455.7
Colombia,2018,80.3,14865.8932403218,14.79105095976,Spanish,219882.19
Colombia,2019,74.3,15621.0873671586,15.0713701428732,Spanish,235431.19
"Egypt, Arab Rep.",2013,85.59999999999989,11221.3803859221,13.4980649322726,British,151466.92
"Egypt, Arab Rep.",2014,85.59999999999989,10895.9431672625,12.2201408450704,British,133149.95
"Egypt, Arab Rep.",2015,85.8,11512.4021442637,12.5192110970171,British,144126.19
Estonia,2013,79.7,27464.5186781161,20.1672231040236,Russian,553883.06
Estonia,2014,80.40000000000001,28945.4653303277,20.7473718622286,Russian,600542.31
Estonia,2015,80.59999999999989,29175.9259267894,21.6706972617707,Russian,632262.69
Estonia,2016,81.90000000000001,31312.7522996878,21.7746900736669,Russian,681825.5
Estonia,2017,81.1759,33821.93290847,20.941809328623,Russian,708292.5
Estonia,2018,80.7,36158.8196517341,21.0521659656741,Russian,761221.5
Estonia,2019,79.90000000000001,38294.4773615386,21.3177851522539,Russian,816353.44
Fiji,2013,78,9536.326349107379,23.4756627460653,British,223871.58
Fiji,2014,82.3,11346.9457863033,22.6437560927569,British,256937.47
Fiji,2015,81.3,12412.3506858719,23.615705626519,British,293126.41
Fiji,2016,81.2,12631.9122008691,23.5346235421212,British,297287.31
Fiji,2017,80.67309999999991,13429.3006222384,24.669942067799,British,331300.06
Fiji,2018,81.40000000000001,14178.5633985018,23.993353427438,British,340191.28
Fiji,2019,81.09999999999989,14262.9995440375,22.6767801308766,British,323438.91
Georgia,2013,88.2,10611.7741169939,22.483046609147,Russian,238585.02
Georgia,2014,87.3,11575.547210705,22.4768667266418,Russian,260182.03
Georgia,2015,87.2,12089.1694050447,22.7514365699131,Russian,275045.97
Georgia,2016,87.59999999999989,12858.4834001898,23.5034602076125,Russian,302218.84
Georgia,2017,87.34909999999989,13589.7073915159,23.3401044119956,Russian,317185.19
Georgia,2018,87,14595.6306437119,22.430795033117,Russian,327391.59
Georgia,2019,87.09999999999989,15623.1529588881,23.1173329727924,Russian,361165.63
Guatemala,2013,79.59999999999989,7446.58800936721,11.1022938902238,Spanish,82674.211
Guatemala,2014,79.59999999999989,7758.49316980639,10.777815919786,Spanish,83619.609
Guatemala,2015,79.59999999999989,8194.44068126819,10.3582515698864,Spanish,84880.078
Guatemala,2016,79.09999999999989,8221.74642722194,10.4215148794664,Spanish,85683.055
Guatemala,2017,79.2175,8322.21680991504,10.6355739727646,Spanish,88511.555
Guatemala,2018,79.2,8665.347260973011,10.5781802592295,Spanish,91663.602
Guatemala,2019,79.2,9019.25606239135,10.456023917976,Spanish,94305.555
India,2013,78.3,5057.23341374821,11.0016256942917,British,55637.789
India,2014,79.40000000000001,5233.88234251319,9.984654190713121,British,52258.504
India,2015,79.40000000000001,5464.85917800941,10.5697090519718,British,57761.973
India,2016,77.09999999999989,5839.86481675337,11.1477384183764,British,65101.285
India,2017,77.172764,6182.92210857444,11.3874439798131,British,70407.68
India,2018,79.40000000000001,6675.36129410783,12.0255158685117,British,80274.664
Iraq,2014,95.5,13888.076375953,.91477329322806,British,12704.441
Iraq,2015,,9763.90409031016,1.32119614893692,British,12900.032
Iraq,2016,,9428.60662077185,2.07780523585979,British,19590.809
Iraq,2017,,10526.3709148753,2.68703020692064,British,28284.676
Iraq,2018,,10809.4724101413,1.98400716286706,British,21446.07
Iraq,2019,,11398.043737084,1.33623722358728,British,15230.49
Ireland,2013,73.8,47830.6308878373,22.9152108630177,British,1096049
Ireland,2014,74,51098.2666828245,23.1384623649356,British,1182335.4
Ireland,2015,73.59999999999989,69028.7727189836,18.7827703758574,British,1296551.6
Ireland,2016,73.59999999999989,71498.6010072841,19.0549825424419,British,1362404.6
Ireland,2017,72.6874,77749.2019569363,18.2991701971235,British,1422745.9
Ireland,2018,76.09999999999989,84665.6062347313,18.130297170773,British,1535012.6
Ireland,2019,76.3,89550.72665699611,17.7294655569315,British,1587686.5
Italy,2013,55.5,36314.6971007775,25.1389039339171,Spanish,912911.69
Italy,2014,55.5,36194.873918843,24.8410721949095,Spanish,899119.5
Italy,2015,54.2,36899.3852092463,24.739527170909,Spanish,912873.31
Italy,2016,55.8,39926.9546628592,25.0703095459877,Spanish,1000981.1
Italy,2017,54.9378999999999,41581.120790548,24.683679444024,Spanish,1026375.1
Italy,2018,55.2,43119.3531893367,24.236769382167,Spanish,1045073.8
Italy,2019,55.6,44950.9340259656,24.5916996766847,Spanish,1105419.9
Jamaica,2013,77.5,8442.983667431021,24.0092921973108,British,202710.06
Jamaica,2014,77.2,8545.102836699671,24.0532148308844,British,205537.19
Jamaica,2015,81.5,8792.056956946861,24.8153092563686,British,218177.61
Jamaica,2016,81.7,9194.15673929581,26.0266694669571,British,239293.28
Jamaica,2017,80.9975,9600.10474580389,26.2210037607905,British,251724.38
Jamaica,2018,80,9968.59449282081,26.7810665699502,British,266969.59
Jamaica,2019,80.2,10190.4746507783,27.4539417450804,British,279768.69
Kazakhstan,2013,93.2,24504.7660856694,16.0301777646187,Russian,392815.75
Kazakhstan,2014,92.90000000000001,24726.4728671586,14.1934327397187,Russian,350953.53
Kazakhstan,2015,93.2,23224.1178353573,9.8357115521941,Russian,228425.72
Kazakhstan,2016,93,23818.8248260141,9.92425019653,Russian,236383.98
Kazakhstan,2017,93.2576,24862.9661245889,10.3030113756124,Russian,256163.42
Kazakhstan,2018,92.59999999999989,26157.6596496269,11.7177995865876,Russian,306510.22
Kazakhstan,2019,93.40000000000001,27466.2206186576,11.78694274063,Russian,323742.78
Kyrgyz Republic,2014,94.59999999999989,4281.82407398556,17.5486530868942,Russian,75140.242
Kyrgyz Republic,2015,93.59999999999989,4214.82950886186,16.801668055009,Russian,70816.164
Kyrgyz Republic,2016,93.7,4681.17473284248,16.9491731803417,Russian,79342.039
Kyrgyz Republic,2017,93.66926419423601,5046.69153549095,17.0462850607483,Russian,86027.344
Kyrgyz Republic,2018,93.8,5256.39792245424,17.998857013595,Russian,94609.156
Kyrgyz Republic,2019,94.09999999999989,5480.7426980282,16.8640679486618,Russian,92427.617
Latvia,2013,84.40000000000001,22639.0683375842,21.7488071672952,Russian,492372.72
Latvia,2014,84.59999999999989,23815.8000623115,22.0432731505453,Russian,524978.19
Latvia,2015,84.40000000000001,24972.7860869932,22.3698772723205,Russian,558638.19
Latvia,2016,84.8,26721.7261996962,23.4880322466525,Russian,627640.75
Latvia,2017,84.7316,28673.5633962664,23.468703276765,Russian,672931.38
Latvia,2018,84,30811.0717912799,22.8119342870269,Russian,702860.13
Latvia,2019,77,32240.8070186573,21.2707603988284,Russian,685786.5
Lithuania,2013,92.8,26721.5796712844,15.6012146391986,Russian,416889.09
Lithuania,2014,92.90000000000001,28184.4723303858,15.8363378502208,Russian,446338.81
Lithuania,2015,92.90000000000001,28834.4276801135,16.6948626853888,Russian,481386.81
Lithuania,2016,92.90000000000001,30925.1708493589,16.9315977516197,Russian,523612.56
Lithuania,2017,86.9151,33761.871239796,16.6338953480244,Russian,561591.44
Lithuania,2018,86.40000000000001,36365.3604906639,16.7633440048065,Russian,609605.06
Lithuania,2019,86.40000000000001,38805.7494336426,19.8311763825815,Russian,769563.69
Luxembourg,2013,65,100925.011992241,24.5467408775759,Spanish,2477380
Luxembourg,2014,62.8,105296.284588232,24.7434367479556,Spanish,2605392
Luxembourg,2015,62.3,107859.685999308,23.2234889745364,Spanish,2504878.3
Luxembourg,2016,61.1,113365.176082265,23.7525029324972,Spanish,2692706.8
Luxembourg,2017,64.5,114985.842235989,24.4280368659589,Spanish,2808878.5
Luxembourg,2018,65.09999999999989,117245.278888845,26.6485654947733,Spanish,3124418.5
Luxembourg,2019,65.40000000000001,119415.469772879,26.5815049673095,Spanish,3174243
Malaysia,2013,85.09999999999989,23477.9911663813,15.310235280489,British,359453.56
Malaysia,2014,84.59999999999989,24607.6687337619,14.8407907140268,British,365197.25
Malaysia,2015,84.40000000000001,24801.8884320151,14.0568621293393,British,348636.72
Malaysia,2016,85,25546.1295181653,13.5507251724192,British,346168.59
Malaysia,2017,85.3095999999999,26661.5074160333,12.9459662411797,British,345158.97
Malaysia,2018,85.59999999999989,28239.5000837184,12.0226628283914,British,339514
Malaysia,2019,85.59999999999989,29623.4051587405,11.9330416605521,British,353497.31
Malta,2013,61.2,32295.8785989372,25.7381548741012,British,831236.31
Malta,2014,63.7,34344.1114460945,25.9932863312529,British,892716.31
Malta,2015,63.1,37455.0705857175,24.3383575630218,British,911594.88
Malta,2016,63.9,39886.9498046529,25.1145813638203,British,1001744.1
Malta,2017,62.8263999999999,42644.0508459903,25.5525588216747,British,1089664.6
Malta,2018,64.7,44482.2396843652,25.7674973462746,British,1146196
Malta,2019,64.2,46766.7666801313,25.5004385895573,British,1192573
Mexico,2013,81.09999999999989,17373.8974567258,10.294578624308,Spanish,178856.95
Mexico,2014,80.90000000000001,18056.7898061476,10.6256050549437,Spanish,191864.31
Mexico,2015,77.8,18301.5004690469,12.7823935220231,Spanish,233936.98
Mexico,2016,74.90000000000001,19323.6658689896,13.5343603549909,Spanish,261533.45
Mexico,2017,74.8691,19721.2609759241,13.0356726825138,Spanish,257079.91
Mexico,2018,75.7,20258.8104526538,13.0646377793546,Spanish,264674.03
Mexico,2019,75.8,20456.9643661642,13.1423853465962,Spanish,268853.31
Moldova,2013,87.2,8381.67183313924,15.4696359631486,Russian,129661.41
Moldova,2014,85.8,8827.05410758548,16.637494863151,Russian,146860.06
Moldova,2015,85.09999999999989,9254.84860512976,16.4012368212384,Russian,151790.97
Moldova,2016,85.40000000000001,10610.4778427993,16.2457922654319,Russian,172375.63
Moldova,2017,86.0784,11651.3174546862,17.4426122320836,Russian,203229.41
Moldova,2018,85.3,12659.983658527,17.6916295246373,Russian,223975.73
Moldova,2019,85.40000000000001,13577.4065771993,17.31036033736,Russian,235029.8
Morocco,2013,71.40000000000001,6916.01303173881,22.3490893564297,Spanish,154566.59
Morocco,2014,71.3,6609.60910787755,22.0269511132987,Spanish,145589.53
Morocco,2015,70.90000000000001,7024.96308902663,21.2114989855756,Spanish,149010
Morocco,2016,71.5,7113.00459986287,21.4558870095265,Spanish,152615.83
Morocco,2017,71.72,7312.05677903856,21.755347231022,Spanish,159076.33
Morocco,2018,70.5,7625.73575260725,21.8741833125173,Spanish,166806.73
Morocco,2019,72.2,7856.24505739729,21.4178488698103,Spanish,168263.88
Myanmar,2013,81.90000000000001,3782.57259536657,5.87126578071308,British,22208.488
Myanmar,2014,86.90000000000001,4009.96256191736,6.17905293919084,British,24777.771
Myanmar,2015,86.90000000000001,4105.44337698664,6.33041734413939,British,25989.17
Myanmar,2016,86.59999999999989,4031.17973614038,7.70519610658228,British,31061.031
Myanmar,2017,,4224.54503061412,6.58100940372646,British,27801.771
Myanmar,2018,,4575.13099039776,2.97848674879625,British,13626.967
Myanmar,2019,,4940.15249914319,6.4392728287842,British,31810.99
Netherlands,2013,52.1,49241.5178406305,19.6920947880502,Spanish,969668.63
Netherlands,2014,51.7,49233.2153954401,20.6364286139734,Spanish,1015997.8
Netherlands,2015,51.8,50288.5913949377,21.1606242246467,Spanish,1064138
Netherlands,2016,52.7,52288.4150841353,21.9051101382534,Spanish,1145383.5
Netherlands,2017,53.2411,55088.6338006744,23.0855413427696,Spanish,1271750.9
Netherlands,2018,52.5,57901.0970130477,23.0563304034822,Spanish,1334986.9
Netherlands,2019,51.6,59675.1803357065,24.0212531747545,Spanish,1433472.6
Nicaragua,2013,78.7,4610.29898129055,15.0204253673627,Spanish,69248.648
