country,year,taxburden,gdppc,category,taxrev,taxrpc
Argentina,2013,64.3,20131.6804246983,Spanish,12.4529027558077,250697.86
Argentina,2014,63.5,19683.7715056442,Spanish,12.6109666067191,248231.39
Argentina,2015,66.8,20105.1989918165,Spanish,12.3365069418291,248027.92
Argentina,2016,66.09999999999989,20307.870052142,Spanish,12.0972836411962,245670.06
Argentina,2017,62.6119,23597.117752839,Spanish,10.939623860491,258143.59
Argentina,2018,65.7,23293.3986337639,Spanish,9.99239008384335,232756.72
Argentina,2019,69.3,22999.2750525577,Spanish,10.4759215719336,240938.61
Armenia,2013,88,9835.802460919849,Russian,21.5862138752919,212317.73
Armenia,2014,86.5,10036.8898405952,Russian,21.5991745525223,216788.53
Armenia,2015,84.40000000000001,9969.664853978231,Russian,20.931220827141,208677.25
Armenia,2016,83.8,10704.2297624759,Russian,21.2773752756378,227757.91
Armenia,2017,83.7175,12115.1392902637,Russian,20.7806533587524,251760.52
Armenia,2018,84.7,13020.3963185992,Russian,20.8701039031814,271737.03
Armenia,2019,84.7,14231.1801885329,Russian,22.2851709900772,317144.28
Azerbaijan,2013,85.5,17188.9455056612,Russian,13.3883331614589,230131.33
Azerbaijan,2014,88.09999999999989,17443.8782563093,Russian,14.2125356482603,247921.73
Azerbaijan,2015,88.09999999999989,14938.4011276715,Russian,15.6031629275469,233086.31
Azerbaijan,2016,88,14371.0227410092,Russian,14.5555165725558,209177.66
Azerbaijan,2017,87.7336,14121.4069355591,Russian,13.1640455061148,185894.84
Azerbaijan,2018,87.5,14550.7628169318,Russian,12.9712717874444,188741.91
Azerbaijan,2019,87.5,15052.7938701564,Russian,14.2188526451777,214033.45
Belarus,2013,88.8,18994.1901887615,Russian,13.3549628478795,253666.7
Belarus,2014,89.2,19008.0610153147,Russian,12.6977245264198,241359.13
Belarus,2015,86.40000000000001,18095.6651782737,Russian,14.1730944654204,256471.58
Belarus,2016,88.59999999999989,17785.9431970966,Russian,13.7882356123814,245236.78
Belarus,2017,89.78,18356.1007741722,Russian,13.0190056104974,238978.17
Belarus,2018,89.8,19430.2787724315,Russian,14.6725689698389,285092.09
Belarus,2019,89.40000000000001,20094.5258122074,Russian,13.3015061393462,267287.47
Colombia,2013,76.09999999999989,12727.764931531,Spanish,14.0221143464507,178470.17
Colombia,2014,80.59999999999989,13307.4245015783,Spanish,15.6997483720014,208923.22
Colombia,2015,80.3,13265.7972569151,Spanish,15.797262655066,209563.28
Colombia,2016,80.09999999999989,13812.0960563446,Spanish,14.3852129298513,198689.94
Colombia,2017,80.0711,14171.3205005648,Spanish,14.8508184081791,210455.7
Colombia,2018,80.3,14865.8932403218,Spanish,14.79105095976,219882.19
Colombia,2019,74.3,15621.0873671586,Spanish,15.0713701428732,235431.19
"Egypt, Arab Rep.",2013,85.59999999999989,11221.3803859221,British,13.4980649322726,151466.92
"Egypt, Arab Rep.",2014,85.59999999999989,10895.9431672625,British,12.2201408450704,133149.95
"Egypt, Arab Rep.",2015,85.8,11512.4021442637,British,12.5192110970171,144126.19
Fiji,2013,78,9536.326349107379,British,23.4756627460653,223871.58
Fiji,2014,82.3,11346.9457863033,British,22.6437560927569,256937.47
Fiji,2015,81.3,12412.3506858719,British,23.615705626519,293126.41
Fiji,2016,81.2,12631.9122008691,British,23.5346235421212,297287.31
Fiji,2017,80.67309999999991,13429.3006222384,British,24.669942067799,331300.06
Fiji,2018,81.40000000000001,14178.5633985018,British,23.993353427438,340191.28
Fiji,2019,81.09999999999989,14262.9995440375,British,22.6767801308766,323438.91
Georgia,2013,88.2,10611.7741169939,Russian,22.483046609147,238585.02
Georgia,2014,87.3,11575.547210705,Russian,22.4768667266418,260182.03
Georgia,2015,87.2,12089.1694050447,Russian,22.7514365699131,275045.97
Georgia,2016,87.59999999999989,12858.4834001898,Russian,23.5034602076125,302218.84
Georgia,2017,87.34909999999989,13589.7073915159,Russian,23.3401044119956,317185.19
Georgia,2018,87,14595.6306437119,Russian,22.430795033117,327391.59
Georgia,2019,87.09999999999989,15623.1529588881,Russian,23.1173329727924,361165.63
Guatemala,2013,79.59999999999989,7446.58800936721,Spanish,11.1022938902238,82674.211
Guatemala,2014,79.59999999999989,7758.49316980639,Spanish,10.777815919786,83619.609
Guatemala,2015,79.59999999999989,8194.44068126819,Spanish,10.3582515698864,84880.078
Guatemala,2016,79.09999999999989,8221.74642722194,Spanish,10.4215148794664,85683.055
Guatemala,2017,79.2175,8322.21680991504,Spanish,10.6355739727646,88511.555
Guatemala,2018,79.2,8665.347260973011,Spanish,10.5781802592295,91663.602
Guatemala,2019,79.2,9019.25606239135,Spanish,10.456023917976,94305.555
India,2013,78.3,5057.23341374821,British,11.0016256942917,55637.789
India,2014,79.40000000000001,5233.88234251319,British,9.984654190713121,52258.504
India,2015,79.40000000000001,5464.85917800941,British,10.5697090519718,57761.973
India,2016,77.09999999999989,5839.86481675337,British,11.1477384183764,65101.285
India,2017,77.172764,6182.92210857444,British,11.3874439798131,70407.68
India,2018,79.40000000000001,6675.36129410783,British,12.0255158685117,80274.664
Iraq,2014,95.5,13888.076375953,British,.91477329322806,12704.441
Iraq,2015,,9763.90409031016,British,1.32119614893692,12900.032
Iraq,2016,,9428.60662077185,British,2.07780523585979,19590.809
Iraq,2017,,10526.3709148753,British,2.68703020692064,28284.676
Iraq,2018,,10809.4724101413,British,1.98400716286706,21446.07
Iraq,2019,,11398.043737084,British,1.33623722358728,15230.49
Jamaica,2013,77.5,8442.983667431021,British,24.0092921973108,202710.06
Jamaica,2014,77.2,8545.102836699671,British,24.0532148308844,205537.19
Jamaica,2015,81.5,8792.056956946861,British,24.8153092563686,218177.61
Jamaica,2016,81.7,9194.15673929581,British,26.0266694669571,239293.28
Jamaica,2017,80.9975,9600.10474580389,British,26.2210037607905,251724.38
Jamaica,2018,80,9968.59449282081,British,26.7810665699502,266969.59
Jamaica,2019,80.2,10190.4746507783,British,27.4539417450804,279768.69
Kazakhstan,2013,93.2,24504.7660856694,Russian,16.0301777646187,392815.75
Kazakhstan,2014,92.90000000000001,24726.4728671586,Russian,14.1934327397187,350953.53
Kazakhstan,2015,93.2,23224.1178353573,Russian,9.8357115521941,228425.72
Kazakhstan,2016,93,23818.8248260141,Russian,9.92425019653,236383.98
Kazakhstan,2017,93.2576,24862.9661245889,Russian,10.3030113756124,256163.42
Kazakhstan,2018,92.59999999999989,26157.6596496269,Russian,11.7177995865876,306510.22
Kazakhstan,2019,93.40000000000001,27466.2206186576,Russian,11.78694274063,323742.78
Kyrgyz Republic,2014,94.59999999999989,4281.82407398556,Russian,17.5486530868942,75140.242
Kyrgyz Republic,2015,93.59999999999989,4214.82950886186,Russian,16.801668055009,70816.164
Kyrgyz Republic,2016,93.7,4681.17473284248,Russian,16.9491731803417,79342.039
Kyrgyz Republic,2017,93.66926419423601,5046.69153549095,Russian,17.0462850607483,86027.344
Kyrgyz Republic,2018,93.8,5256.39792245424,Russian,17.998857013595,94609.156
Kyrgyz Republic,2019,94.09999999999989,5480.7426980282,Russian,16.8640679486618,92427.617
Malaysia,2013,85.09999999999989,23477.9911663813,British,15.310235280489,359453.56
Malaysia,2014,84.59999999999989,24607.6687337619,British,14.8407907140268,365197.25
Malaysia,2015,84.40000000000001,24801.8884320151,British,14.0568621293393,348636.72
Malaysia,2016,85,25546.1295181653,British,13.5507251724192,346168.59
Malaysia,2017,85.3095999999999,26661.5074160333,British,12.9459662411797,345158.97
Malaysia,2018,85.59999999999989,28239.5000837184,British,12.0226628283914,339514
Malaysia,2019,85.59999999999989,29623.4051587405,British,11.9330416605521,353497.31
Mexico,2013,81.09999999999989,17373.8974567258,Spanish,10.294578624308,178856.95
Mexico,2014,80.90000000000001,18056.7898061476,Spanish,10.6256050549437,191864.31
Mexico,2015,77.8,18301.5004690469,Spanish,12.7823935220231,233936.98
Mexico,2016,74.90000000000001,19323.6658689896,Spanish,13.5343603549909,261533.45
Mexico,2017,74.8691,19721.2609759241,Spanish,13.0356726825138,257079.91
Mexico,2018,75.7,20258.8104526538,Spanish,13.0646377793546,264674.03
Mexico,2019,75.8,20456.9643661642,Spanish,13.1423853465962,268853.31
Moldova,2013,87.2,8381.67183313924,Russian,15.4696359631486,129661.41
Moldova,2014,85.8,8827.05410758548,Russian,16.637494863151,146860.06
Moldova,2015,85.09999999999989,9254.84860512976,Russian,16.4012368212384,151790.97
Moldova,2016,85.40000000000001,10610.4778427993,Russian,16.2457922654319,172375.63
Moldova,2017,86.0784,11651.3174546862,Russian,17.4426122320836,203229.41
Moldova,2018,85.3,12659.983658527,Russian,17.6916295246373,223975.73
Moldova,2019,85.40000000000001,13577.4065771993,Russian,17.31036033736,235029.8
Morocco,2013,71.40000000000001,6916.01303173881,Spanish,22.3490893564297,154566.59
Morocco,2014,71.3,6609.60910787755,Spanish,22.0269511132987,145589.53
Morocco,2015,70.90000000000001,7024.96308902663,Spanish,21.2114989855756,149010
Morocco,2016,71.5,7113.00459986287,Spanish,21.4558870095265,152615.83
Morocco,2017,71.72,7312.05677903856,Spanish,21.755347231022,159076.33
Morocco,2018,70.5,7625.73575260725,Spanish,21.8741833125173,166806.73
Morocco,2019,72.2,7856.24505739729,Spanish,21.4178488698103,168263.88
Myanmar,2013,81.90000000000001,3782.57259536657,British,5.87126578071308,22208.488
Myanmar,2014,86.90000000000001,4009.96256191736,British,6.17905293919084,24777.771
Myanmar,2015,86.90000000000001,4105.44337698664,British,6.33041734413939,25989.17
Myanmar,2016,86.59999999999989,4031.17973614038,British,7.70519610658228,31061.031
Myanmar,2017,,4224.54503061412,British,6.58100940372646,27801.771
Myanmar,2018,,4575.13099039776,British,2.97848674879625,13626.967
Myanmar,2019,,4940.15249914319,British,6.4392728287842,31810.99
Nicaragua,2013,78.7,4610.29898129055,Spanish,15.0204253673627,69248.648
Nicaragua,2014,78.59999999999989,4941.6997020079,Spanish,15.3162663787317,75688.391
Nicaragua,2015,78.40000000000001,5293.87046224287,Spanish,15.5895883603149,82529.258
Nicaragua,2016,78,5694.05428740789,Spanish,16.1664462040546,92052.625
Nicaragua,2017,77.2039,6004.01408757341,Spanish,16.573831626432,99509.516
Nicaragua,2018,77.2,5867.24389067727,Spanish,15.6994164536848,92112.305
Nicaragua,2019,76.90000000000001,5682.21597760341,Spanish,17.5430985982931,99683.672
Paraguay,2013,95.90000000000001,11062.5587335491,Spanish,8.992141631255381,99476.094
