LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,NEET,15_29,PC_AGE,A,1997,16.034595,
AUS,NEET,15_29,PC_AGE,A,1998,14.880802,
AUS,NEET,15_29,PC_AGE,A,1999,13.637552,
AUS,NEET,15_29,PC_AGE,A,2000,13.19296,
AUS,NEET,15_29,PC_AGE,A,2001,12.979,
AUS,NEET,15_29,PC_AGE,A,2002,12.743526,
AUS,NEET,15_29,PC_AGE,A,2003,12.591039,
AUS,NEET,15_29,PC_AGE,A,2004,12.322674,
AUS,NEET,15_29,PC_AGE,A,2005,11.442005,
AUS,NEET,15_29,PC_AGE,A,2006,11.395142,
AUS,NEET,15_29,PC_AGE,A,2007,10.529561,
AUS,NEET,15_29,PC_AGE,A,2008,10.411158,
AUS,NEET,15_29,PC_AGE,A,2009,12.320885,
AUS,NEET,15_29,PC_AGE,A,2010,11.827723,
AUS,NEET,15_29,PC_AGE,A,2011,11.516515,
AUS,NEET,15_29,PC_AGE,A,2012,11.717311,
AUS,NEET,15_29,PC_AGE,A,2013,13.015899,
AUS,NEET,15_29,PC_AGE,A,2014,12.647472,
AUS,NEET,15_29,PC_AGE,A,2015,11.83161,
AUS,NEET,15_29,PC_AGE,A,2016,11.35215,
AUS,NEET,15_29,PC_AGE,A,2017,10.946128,
AUS,NEET,15_29,PC_AGE,A,2018,10.842403,
AUS,NEET,15_29,PC_AGE,A,2019,10.399729,
AUS,NEET,15_29,PC_AGE,A,2020,14.243934,
AUT,NEET,15_29,PC_AGE,A,2004,12.389748,
AUT,NEET,15_29,PC_AGE,A,2005,11.440991,
AUT,NEET,15_29,PC_AGE,A,2006,11.958549,
AUT,NEET,15_29,PC_AGE,A,2007,11.302896,
AUT,NEET,15_29,PC_AGE,A,2008,10.652842,
AUT,NEET,15_29,PC_AGE,A,2009,11.419484,
AUT,NEET,15_29,PC_AGE,A,2010,11.712417,
AUT,NEET,15_29,PC_AGE,A,2011,10.265295,
AUT,NEET,15_29,PC_AGE,A,2012,10.286999,
AUT,NEET,15_29,PC_AGE,A,2013,10.680032,
AUT,NEET,15_29,PC_AGE,A,2014,11.552073,
AUT,NEET,15_29,PC_AGE,A,2015,10.438811,
AUT,NEET,15_29,PC_AGE,A,2016,10.861573,
AUT,NEET,15_29,PC_AGE,A,2017,10.806797,
AUT,NEET,15_29,PC_AGE,A,2018,11.101415,
AUT,NEET,15_29,PC_AGE,A,2019,10.437009,
AUT,NEET,15_29,PC_AGE,A,2020,11.57,
BEL,NEET,15_29,PC_AGE,A,1997,15.246123,
BEL,NEET,15_29,PC_AGE,A,1998,15.449347,
BEL,NEET,15_29,PC_AGE,A,1999,14.318655,
BEL,NEET,15_29,PC_AGE,A,2000,12.918994,
BEL,NEET,15_29,PC_AGE,A,2001,11.738148,
BEL,NEET,15_29,PC_AGE,A,2002,13.997588,
BEL,NEET,15_29,PC_AGE,A,2003,14.364562,
BEL,NEET,15_29,PC_AGE,A,2004,13.9872,
BEL,NEET,15_29,PC_AGE,A,2005,14.18948,
BEL,NEET,15_29,PC_AGE,A,2006,13.903902,
BEL,NEET,15_29,PC_AGE,A,2007,12.734346,
BEL,NEET,15_29,PC_AGE,A,2008,12.107311,
BEL,NEET,15_29,PC_AGE,A,2009,12.740355,
BEL,NEET,15_29,PC_AGE,A,2010,14.208397,
BEL,NEET,15_29,PC_AGE,A,2011,13.893257,
BEL,NEET,15_29,PC_AGE,A,2012,14.955427,
BEL,NEET,15_29,PC_AGE,A,2013,14.977997,
BEL,NEET,15_29,PC_AGE,A,2014,15.014685,
BEL,NEET,15_29,PC_AGE,A,2015,13.80891,
BEL,NEET,15_29,PC_AGE,A,2016,12.989787,
BEL,NEET,15_29,PC_AGE,A,2017,13.241013,
BEL,NEET,15_29,PC_AGE,A,2018,12.750292,
BEL,NEET,15_29,PC_AGE,A,2019,12.602888,
BEL,NEET,15_29,PC_AGE,A,2020,12.460939,
CAN,NEET,15_29,PC_AGE,A,1997,15.791224,
CAN,NEET,15_29,PC_AGE,A,1998,15.126329,
CAN,NEET,15_29,PC_AGE,A,1999,14.063276,
CAN,NEET,15_29,PC_AGE,A,2000,13.706755,
CAN,NEET,15_29,PC_AGE,A,2001,13.080444,
CAN,NEET,15_29,PC_AGE,A,2002,13.51176,
CAN,NEET,15_29,PC_AGE,A,2003,12.872084,
CAN,NEET,15_29,PC_AGE,A,2004,12.98391,
CAN,NEET,15_29,PC_AGE,A,2005,12.332651,
CAN,NEET,15_29,PC_AGE,A,2006,12.016768,
CAN,NEET,15_29,PC_AGE,A,2007,12.087744,
CAN,NEET,15_29,PC_AGE,A,2008,11.916313,
CAN,NEET,15_29,PC_AGE,A,2009,13.361357,
CAN,NEET,15_29,PC_AGE,A,2010,13.668851,
CAN,NEET,15_29,PC_AGE,A,2011,13.359964,
CAN,NEET,15_29,PC_AGE,A,2012,13.399941,
CAN,NEET,15_29,PC_AGE,A,2013,12.478057,
CAN,NEET,15_29,PC_AGE,A,2014,13.403195,
CAN,NEET,15_29,PC_AGE,A,2015,13.261124,
CAN,NEET,15_29,PC_AGE,A,2016,13.088084,
CAN,NEET,15_29,PC_AGE,A,2017,12.175824,
CAN,NEET,15_29,PC_AGE,A,2018,11.947031,
CAN,NEET,15_29,PC_AGE,A,2019,11.272675,
CAN,NEET,15_29,PC_AGE,A,2020,13.58357,
CZE,NEET,15_29,PC_AGE,A,1997,15.538901,
CZE,NEET,15_29,PC_AGE,A,1998,16.299702,
CZE,NEET,15_29,PC_AGE,A,1999,19.010744,
CZE,NEET,15_29,PC_AGE,A,2000,18.549856,
CZE,NEET,15_29,PC_AGE,A,2001,17.424421,
CZE,NEET,15_29,PC_AGE,A,2002,16.904242,
CZE,NEET,15_29,PC_AGE,A,2003,16.877514,
CZE,NEET,15_29,PC_AGE,A,2004,17.177551,
CZE,NEET,15_29,PC_AGE,A,2005,15.895577,
CZE,NEET,15_29,PC_AGE,A,2006,14.068305,
CZE,NEET,15_29,PC_AGE,A,2007,11.74424,
CZE,NEET,15_29,PC_AGE,A,2008,10.876886,
CZE,NEET,15_29,PC_AGE,A,2009,12.826308,
CZE,NEET,15_29,PC_AGE,A,2010,13.236864,
CZE,NEET,15_29,PC_AGE,A,2011,12.748866,
CZE,NEET,15_29,PC_AGE,A,2012,13.418057,
CZE,NEET,15_29,PC_AGE,A,2013,13.244039,
CZE,NEET,15_29,PC_AGE,A,2014,12.489656,
CZE,NEET,15_29,PC_AGE,A,2015,12.232547,
CZE,NEET,15_29,PC_AGE,A,2016,11.624346,
CZE,NEET,15_29,PC_AGE,A,2017,10.906657,
CZE,NEET,15_29,PC_AGE,A,2018,9.991457,
CZE,NEET,15_29,PC_AGE,A,2019,9.8013754,
CZE,NEET,15_29,PC_AGE,A,2020,10.584412,
