country,year,value
AUS,1997,16.034595
AUS,1998,14.880802
AUS,1999,13.637552
AUS,2000,13.19296
AUS,2001,12.979
AUS,2002,12.743526
AUS,2003,12.591039
AUS,2004,12.322674
AUS,2005,11.442005
AUS,2006,11.395142
AUS,2007,10.529561
AUS,2008,10.411158
AUS,2009,12.320885
AUS,2010,11.827723
AUS,2011,11.516515
AUS,2012,11.717311
AUS,2013,13.015899
AUS,2014,12.647472
AUS,2015,11.83161
AUS,2016,11.35215
AUS,2017,10.946128
AUS,2018,10.842403
AUS,2019,10.399729
AUS,2020,14.243934
AUT,2004,12.389748
AUT,2005,11.440991
AUT,2006,11.958549
AUT,2007,11.302896
AUT,2008,10.652842
AUT,2009,11.419484
AUT,2010,11.712417
AUT,2011,10.265295
AUT,2012,10.286999
AUT,2013,10.680032
AUT,2014,11.552073
AUT,2015,10.438811
AUT,2016,10.861573
AUT,2017,10.806797
AUT,2018,11.101415
AUT,2019,10.437009
AUT,2020,11.57
BEL,1997,15.246123
BEL,1998,15.449347
BEL,1999,14.318655
BEL,2000,12.918994
BEL,2001,11.738148
BEL,2002,13.997588
BEL,2003,14.364562
BEL,2004,13.9872
BEL,2005,14.18948
BEL,2006,13.903902
BEL,2007,12.734346
BEL,2008,12.107311
BEL,2009,12.740355
BEL,2010,14.208397
BEL,2011,13.893257
BEL,2012,14.955427
BEL,2013,14.977997
BEL,2014,15.014685
BEL,2015,13.80891
BEL,2016,12.989787
BEL,2017,13.241013
BEL,2018,12.750292
BEL,2019,12.602888
BEL,2020,12.460939
CAN,1997,15.791224
CAN,1998,15.126329
CAN,1999,14.063276
CAN,2000,13.706755
CAN,2001,13.080444
CAN,2002,13.51176
CAN,2003,12.872084
CAN,2004,12.98391
CAN,2005,12.332651
CAN,2006,12.016768
CAN,2007,12.087744
CAN,2008,11.916313
CAN,2009,13.361357
CAN,2010,13.668851
CAN,2011,13.359964
CAN,2012,13.399941
CAN,2013,12.478057
CAN,2014,13.403195
CAN,2015,13.261124
CAN,2016,13.088084
CAN,2017,12.175824
CAN,2018,11.947031
CAN,2019,11.272675
CAN,2020,13.58357
CZE,1997,15.538901
CZE,1998,16.299702
CZE,1999,19.010744
CZE,2000,18.549856
CZE,2001,17.424421
CZE,2002,16.904242
CZE,2003,16.877514
CZE,2004,17.177551
CZE,2005,15.895577
CZE,2006,14.068305
CZE,2007,11.74424
CZE,2008,10.876886
CZE,2009,12.826308
CZE,2010,13.236864
CZE,2011,12.748866
CZE,2012,13.418057
CZE,2013,13.244039
CZE,2014,12.489656
CZE,2015,12.232547
CZE,2016,11.624346
CZE,2017,10.906657
CZE,2018,9.991457
CZE,2019,9.8013754
CZE,2020,10.584412
DNK,1997,5.89746
DNK,1998,5.6797938
DNK,1999,6.5008025
DNK,2000,5.8439384
DNK,2001,6.1843839
DNK,2002,5.5828538
DNK,2003,8.8914499
DNK,2004,8.6064711
DNK,2005,8.2216225
DNK,2006,6.2267218
DNK,2007,7.056663
DNK,2008,7.5828166
DNK,2009,8.845994
DNK,2010,11.944765
DNK,2011,12.755575
DNK,2012,13.28861
DNK,2013,12.585038
DNK,2014,13.081948
DNK,2015,11.433514
DNK,2016,9.7030172
DNK,2017,12.670604
DNK,2018,12.030656
DNK,2019,11.618057
DNK,2020,11.685645
FIN,2003,11.6391
FIN,2004,12.363494
FIN,2005,10.900252
FIN,2006,10.433372
FIN,2007,10.148082
FIN,2008,9.8611488
FIN,2009,11.955111
FIN,2010,12.637969
FIN,2011,11.756824
FIN,2012,11.927396
FIN,2013,12.331663
FIN,2014,12.966842
FIN,2015,14.311735
FIN,2016,13.227513
FIN,2017,12.605042
FIN,2018,11.945032
FIN,2019,11.040339
FIN,2020,10.767591
FRA,1997,17.738672
FRA,1998,17.012865
FRA,1999,17.148434
FRA,2000,14.991988
FRA,2001,14.479424
FRA,2002,14.736425
FRA,2003,14.11736
FRA,2004,14.599412
FRA,2005,14.519276
FRA,2006,15.150719
FRA,2007,14.470678
FRA,2008,14.030657
FRA,2009,15.63128
FRA,2010,16.61404
FRA,2011,16.407499
FRA,2012,16.582481
