Time,Time Code,Country,Country Code,GDPGrowth
2021,YR2021,Canada,CAN,5.69
2022,YR2022,Canada,CAN,4.89
2023,YR2023,Canada,CAN,2.63
2024,YR2024,Canada,CAN,1.54
2025,YR2025,Canada,CAN,1.43
2026,YR2026,Canada,CAN,1.55
2021,YR2021,France,FRA,6.29
2022,YR2022,France,FRA,3.93
2023,YR2023,France,FRA,1.82
2024,YR2024,France,FRA,1.49
2025,YR2025,France,FRA,1.39
2026,YR2026,France,FRA,1.38
2021,YR2021,Germany,DEU,3.05
2022,YR2022,Germany,DEU,4.56
2023,YR2023,Germany,DEU,1.59
2024,YR2024,Germany,DEU,1.37
2025,YR2025,Germany,DEU,1.15
2026,YR2026,Germany,DEU,1.12
2021,YR2021,Italy,ITA,5.77
2022,YR2022,Italy,ITA,4.23
2023,YR2023,Italy,ITA,1.62
2024,YR2024,Italy,ITA,1.02
2025,YR2025,Italy,ITA,1
2026,YR2026,Italy,ITA,0.97
2021,YR2021,Japan,JPN,2.36
2022,YR2022,Japan,JPN,3.2
2023,YR2023,Japan,JPN,1.37
2024,YR2024,Japan,JPN,0.83
2025,YR2025,Japan,JPN,0.57
2026,YR2026,Japan,JPN,0.49
2021,YR2021,United Kingdom,GBR,5.34
2022,YR2022,United Kingdom,GBR,5.07
2023,YR2023,United Kingdom,GBR,2
2024,YR2024,United Kingdom,GBR,1.76
2025,YR2025,United Kingdom,GBR,1.55
2026,YR2026,United Kingdom,GBR,1.45
2021,YR2021,United States,USA,6.39
2022,YR2022,United States,USA,3.52
2023,YR2023,United States,USA,1.41
2024,YR2024,United States,USA,1.48
2025,YR2025,United States,USA,1.61
2026,YR2026,United States,USA,1.61
